მეერთისა	Pantokrator
გულსავსეობა-ჲ	Glauben, Güte; Glauben, Güte
მჭირსეობა-ჲ	Mühe, Not
მესუეტეობა-ჲ	Aufdiesäulestellen
მტეობა-ჲ	Sein, Ort
პურისმტეობა-ჲ	gemeinsames Essen
განტეობა-ჲ	Weglassen, Freilassen
მებრუეობა-ჲ	Schwindelgefühl
მენესტუეობა-ჲ	Blasinstrumentenspiel
მორცხუეობა-ჲ	Schüchternheit
მარჯუეობა-ჲ	Bewerkstelligen, Güte, Tüchtigkeit
დღითიდღეობა-ჲ	Ständigkeit
მემრუშეობა-ჲ	Hurengängerei, Ehebruch
მეკეცეობა-ჲ	Töpferei
მტკიცეობა-ჲ	Festigkeit, Stärke
ძირმტკიცეობა-ჲ	Festigkeit
მრჩობლმონაქცეობა-ჲ	Verdoppelung, Wiederholung
მიმომქცეობა-ჲ	Schwanken, Umhergehen; Schwanken, Umhergehen
მოქცეობა-ჲ	Kunstgriff, List; Tonart
მრჩობლმოქცეობა-ჲ	Wiederholung
მამაძეობა-ჲ	Verhältnis zwischen Vater und Kindern
მეანდერძეობა-ჲ	testamentarische Vererbung
მსწრაფლშემწეობა-ჲ	schnelle Hilfe
ძალმწეობა-ჲ	Hilfe
მეხარჭეობა-ჲ	Haltung einer Geliebten
სახიერებისსახეობა-ჲ	Güte
ელვისსახეობა-ჲ	Blitzen, Glänzen
ლომისსახეობა-ჲ	Löwenhaftigkeit
უსახეობა-ჲ	Böses, Bosheit
მიმოდამთხეობა-ჲ	Umherstreuen, Verstreuen
ჰეობა-ჲ	Bestätigung
პირველმესაინაჴეობა-ჲ	Vorsitzen
პირველსაინაჴეობა-ჲ	Vorsitzen
მეინაჴეობა-ჲ	Tischgenossenschaft, Tischrunde, Tafel
მგრძნებავობა-ჲ	Zauberei
სახედავობა-ჲ	Anblick, Vorstellung
მრავალთავობა-ჲ	Vielführerschaft
თთჳსთავობა-ჲ	Monatsanfang
უხილავობა-ჲ	Unsichtbarkeit; Unsichtbarkeit
მიმოწლონავობა-ჲ	Umherlungern
მფრტჳნავობა-ჲ	Dreistheit
უზოპავობა-ჲ	Wahrhaftigheit
მოძრავობა-ჲ	Bewegung
თჳთმოძრავობა-ჲ	Weitergabe (des Besitzes)
ნათესავობა-ჲ	Verwandtschaft, Volk, Generation, Art; Verwandtschaft, Volk, Generation, Art
კეთილადმოსავობა-ჲ	große Hoffnung
თუალუხუავობა-ჲ	Unvoreingenommenheit
მსიძავობა-ჲ	Hurerei
მიმომქცევობა-ჲ	Schwanken, Umhergehen
მოქცევობა-ჲ	Kunstgriff, List; Tonart
მრავალმოქცევობა-ჲ	Dauer, lange Zeitdauer
ერისთვობა-ჲ	Heerführerschaft
ციხისთვობა-ჲ	Amt des Burghauptmanns
ლომებრივობა-ჲ	Löwenhaftigkeit
კაცობრივობა-ჲ	Menschenähnlichkeit
ერთპატივობა-ჲ	gleiche Stellung
სწორპატივობა-ჲ	Ehrgleichheit, Würdengleichheit
ჰავნათესვობა-ჲ	schlechte Abstammung
ძჳრნათესვობა-ჲ	Verbrechernachkommenschaft
მეთევზობა-ჲ	Fischerei
კათალიკოზობა-ჲ	Amt des Katholikos
ბარბაროზობა-ჲ	Fremdländischkeit
გალატოზობა-ჲ	Maurerhandwerk
ანდერზობა-ჲ	Berechnen, Aufzählen, Zählen; Berechnen, Aufzählen, Zählen
უნებლიეთობა-ჲ	Unwillkürlichkeit
ეგრეთობა-ჲ	solche Art
გამომეძიებლობითობა-ჲ	Untersuchung
მზიარებელობითობა-ჲ	Teilnahme am hl. Abendmahl
მხედველობითობა-ჲ	Sichtbarkeit
ვარსკულავთმსწავლელობითობა-ჲ	Astrologie
იგავითობა-ჲ	Angleichung
გამოწულილვითობა-ჲ	genaue Untersuchung
მარჯუენითობა-ჲ	Rechtssein, Wahrheit
მიწევნითობა-ჲ	Verständnis
ზედამიწევნითობა-ჲ	Wahrheit
ნებსითობა-ჲ	Freiwilligkeit
ნეფსითობა-ჲ	Freiwilligkeit; Freiwilligkeit
შფოთობა-ჲ	Aufruhr, Streit
წუთერთობა-ჲ	Vergänglichkeit
სხუაღმრთობა-ჲ	Glaube an einen anderen Gott
შთაშთობა-ჲ	Ertränken, Ertrinken
იშჳთობა-ჲ	Seltenheit
სოფლიობა-ჲ	Weltlichkeit
ღმრთეებრიობა-ჲ	Gläubigkeit
აჩრდილებრიობა-ჲ	Schattenhaftigkeit
ცეცხლებრიობა-ჲ	Feuergleichheit, Feuerartigkeit
მთავრებრიობა-ჲ	Fürstlichkeit, Herrschaft
მჴეცებრიობა-ჲ	Wildheit, Grausamkeit
მამობრიობა-ჲ	Väterlichkeit, Amt des Abts
კჳრიობა-ჲ	Woche, Sonntag; Woche, Sonntag
ეკკლესიობა-ჲ	Versammlung, Versammeln
სწორპატიობა-ჲ	Ehrgleichheit, Würdengleichheit; Ehrgleichheit, Würdengleichheit
უვაკობა-ჲ	Unebenheit, Hinterlist
პაჰრაკობა-ჲ	Beschützen, Bewachen
უჰასაკობა-ჲ	Minderjährigkeit
სპეტაკობა-ჲ	Weiß
არქიმანდრიკობა-ჲ	Führung eines Klosters
ხარკობა-ჲ	Bezahlung, Dienst, Mühe, Arbeit, Fron, Fürsorge
მავალობა-ჲ	Gehen, Laufen
თანამავალობა-ჲ	Begleiten, gemeinsame Reise
შუამავალობა-ჲ	Vermittlung, Botengang
შემავალობა-ჲ	Hineingehen
მიმავალობა-ჲ	Hingehen, Hinlaufen
მართლმავალობა-ჲ	richtiges Gehen, Nichtfehlgehen
მომავალობა-ჲ	Kommen, Kommenkönnen; Kommen, Kommenkönnen
წინაგამომავალობა-ჲ	erster Rang
შთამომავალობა-ჲ	Nachkommenschaft
თანაშთამომავალობა-ჲ	Fürsorge, Güte
შემომავალობა-ჲ	Hereinkommen
თანაწარმავალობა-ჲ	Vorbeigehen
მსწრაფლწარმავალობა-ჲ	rasches Weggehen, Verschwinden
მიმოვალობა-ჲ	Hin- und Herlaufen
მკერვალობა-ჲ	Nähen, Schneidern
მწუერვალობა-ჲ	Höhe, Größe
მომთრვალობა-ჲ	Trunkenheit, Säuferei; Trunkenheit, Säuferei
მჴურვალობა-ჲ	Hitze, Glut, Fieberhitze, Jähzorn, Strebsamkeit
მსახრვალობა-ჲ	Zauberei; Zauberei
წარუვალობა-ჲ	Ewigkeit, Unvergänglichkeit
საშუვალობა-ჲ	Mittelposition
თანამზრახვალობა-ჲ	Einmütigkeit
მრეკალობა-ჲ	Klopfen, Hinaustreiben
მბრდღუენალობა-ჲ	Zürnen
მომღერალობა-ჲ	Spielen, Singen
მომზირალობა-ჲ	Auflauern, Beobachten
მტირალობა-ჲ	Weinen
მყრალობა-ჲ	Gestank
გულმწყრალობა-ჲ	Zürnen, Zorn
მრავალთუალობა-ჲ	Aufmerksamkeit
ღმრთისმქადაგებლობა-ჲ	Gottpredigen
მრავალწარსაგებლობა-ჲ	große Ausgabe
სიტყუათმგებლობა-ჲ	Antwort, Rechtfertigung
დაუცადებლობა-ჲ	Ununterbrochenheit; Ununterbrochenheit
მადიდებლობა-ჲ	Verherrlichung, Hochmut
საქმისდამდებლობა-ჲ	Beginn einer Angelegenheit
საზღვრისმდებლობა-ჲ	Grenzfestlegung, Anordnung
მამშჳდებლობა-ჲ	Beruhigung
დამტევებლობა-ჲ	Verlassen, Zurücklassen; Verlassen, Zurücklassen
მეძიებლობა-ჲ	Suchen
შეუცვალებლობა-ჲ	Unveränderlichkeit, Festigkeit; Unveränderlichkeit, Festigkeit
საძაგელებლობა-ჲ	Abscheulichkeit; Abscheulichkeit
შეუცილებლობა-ჲ	Unstrittigkeit
საქმისშემძლებლობა-ჲ	Fähigkeit zur Erledigung einer Arbeit
ცილისმწამებლობა-ჲ	Verleumdung; Verleumdung
შეუყვანებლობა-ჲ	Nichthineinlassen
განსასუენებლობა-ჲ	Bewirtung, Erholung
თუალმაჩუენებლობა-ჲ	Sichverstellen
მაშენებლობა-ჲ	Bauen
წინააღმომაცენებლობა-ჲ	Geburt, Zeugung
თანამთნებლობა-ჲ	Gefallen
სხუამთნებლობა-ჲ	Fremdenfreundlichkeit
მაგინებლობა-ჲ	Schimpfen; Schimpfen
შეუგინებლობა-ჲ	Reinheit, Makellosigkeit
მოუწყინებლობა-ჲ	Unermüdlichkeit
განმჩინებლობა-ჲ	Festsetzen, Festlegen; Urteilsverkündung
განუჩინებლობა-ჲ	Nichtfestlegung
საძაგელისშემძინებლობა-ჲ	übermäßige Gier
განმგონებლობა-ჲ	Verstehen, Gehorchen
უკანონებლობა-ჲ	Straflosigkeit
უქონებლობა-ჲ	Armut, Besitzlosigkeit
მაცთუნებლობა-ჲ	Verführung; Verführung
აღმსაარებლობა-ჲ	Bekenntnis, Gelübde
განმამწარებლობა-ჲ	Belästigung; Belästigung
დაუბერებლობა-ჲ	Nichtaltern
უჯერებლობა-ჲ	Ungehorsam
უსწორებლობა-ჲ	Ungleichheit
თანამცხორებლობა-ჲ	Zusammenleben, Beischlaf
მბოროტებლობა-ჲ	Bösartigkeit, Bosheit
მისაღებლობა-ჲ	Annehmen, Wegnehmen
შემომღებლობა-ჲ	Hereinschaffen
შემამტკიცებლობა-ჲ	Bestätigung, Bekräftigung, Vereinigung
უმტკიცებლობა-ჲ	Unbeständigkeit
უზუაობლობა-ჲ	Bescheidenheit
შეუწყობლობა-ჲ	Unangemessenheit
უშობლობა-ჲ	Ungeborensein; Ungeborensein
მრჩობლობა-ჲ	Verdoppelung
უმჯობლობა-ჲ	Untauglichkeit
უმადლობა-ჲ	Undankbarkeit; Undankbarkeit
მამლობა-დედლობა-ჲ	Paarung bei Tieren
მამალ-დედლობა-ჲ	Paarung der Tiere
შუაკედლობა-ჲ	Trennwand, Trennmauer
მრავალსასყიდლობა-ჲ	Teuersein
ჰრომაელობა-ჲ	Römertum
მნებებელობა-ჲ	Wünschen
მიმგებელობა-ჲ	Entgelten
წინაგანმგებელობა-ჲ	Fürsorge, Ordnung, Festlegung
მომგებელობა-ჲ	Gewinnen, Erwerben
სიტყჳსმგებელობა-ჲ	Antworten, Streiten
მარგებელობა-ჲ	Güte, Nutzen
განუგებელობა-ჲ	Unordentlichkeit
დამბადებელობა-ჲ	Erschaffung, Zeugung, Geburt
განუმზადებელობა-ჲ	Unvorbereitetheit
წინაგანუმზადებელობა-ჲ	Unvorbereitetheit
დაუცადებელობა-ჲ	Ununterbrochenheit
ჴელთსაგდებელობა-ჲ	Einfangen, Ergreifen
განსაგდებელობა-ჲ	Wegwerfen, Entfernen
ჴელუგდებელობა-ჲ	Unfaßbarkeit, Ungreifbarkeit
მართლმადიდებელობა-ჲ	Orthodoxie
სადიდებელობა-ჲ	Preis, Verehrung, Ruhm
დამდებელობა-ჲ	Festlegen, Festsetzen, Bestimmen
თავსმდებელობა-ჲ	Aufsichnehmen, Ertragen
საზღვრისმდებელობა-ჲ	Grenzfestlegung
მოულოდებელობა-ჲ	Unerwartetheit
შეუცოდებელობა-ჲ	Unschuld, Reinheit
მიმწოდებელობა-ჲ	Aufhetzen, Anstacheln
მაზავებელობა-ჲ	Versöhnen
აღუზუავებელობა-ჲ	Bescheidenheit
კეთილადშემსწავებელობა-ჲ	richtiges Verständnis
შეუსწავებელობა-ჲ	Fremdheit
დამტევებელობა-ჲ	Verlassen, Zurücklassen
განმაქარვებელობა-ჲ	Vernichten
განმქარვებელობა-ჲ	Vernichtung
განუქარვებელობა-ჲ	Beständigkeit, Ewigkeit
წარსამართებელობა-ჲ	Machen, Gelingen
მმართებელობა-ჲ	Führung, Leitung, Fürsorge
ერთმმართებელობა-ჲ	Einzelführung, Einzelherrschaft
წარუმართებელობა-ჲ	Niederlage
შემაერთებელობა-ჲ	Verknüpfbarkeit
გამომეძიებელობა-ჲ	Untersuchung, Erforschung
სიტყუაგამომეძიებელობა-ჲ	Untersuchung, Erforschung
შესაცვალებელობა-ჲ	Veränderung
უცვალებელობა-ჲ	Unveränderlichkeit, Beständigkeit
შეუცვალებელობა-ჲ	Unveränderlichkeit, Festigkeit
განუწვალებელობა-ჲ	Unerschütterlichkeit, Ganzheit
დაუმდაბლებელობა-ჲ	Höhe, Größe, Dreistheit
მიმმადლებელობა-ჲ	Schenken
განმაცხოველებელობა-ჲ	Wiederbelebungskraft
განმაძნელებელობა-ჲ	Belästigung
განუმრავლებელობა-ჲ	Unvermehrbarkeit
განმანათლებელობა-ჲ	Erhellung, Erleuchtung
დაუმორჩილებელობა-ჲ	Unbeugsamkeit
მაცილებელობა-ჲ	Streit, Widerspenstigkeit
მამხილებელობა-ჲ	Bezichtigen, Beschuldigen, Entlarven
დამაკლებელობა-ჲ	Vermindern, Verringern
დამაბრკოლებელობა-ჲ	Verführung
დაუბრკოლებელობა-ჲ	Unfehlbarkeit
შეუორგულებელობა-ჲ	Treue
განმასრულებელობა-ჲ	Beendigung, Vollendung
დაუსრულებელობა-ჲ	Endlosigkeit
უიძულებელობა-ჲ	Zwanglosigkeit, Freiwilligkeit
შესაძლებელობა-ჲ	Möglichkeit
შემძლებელობა-ჲ	Können, Kraft, Vermögen
შეუძლებელობა-ჲ	Unmöglichkeit, Unfähigkeit
განმაახლებელობა-ჲ	Erneuerung, Erneuerbarkeit
მიუახლებელობა-ჲ	Ferne
ცილისმწამებელობა-ჲ	Verleumdung
დამამძიმებელობა-ჲ	Belästigung
მბანებელობა-ჲ	Waschen, Baden
გამოუთარგმანებელობა-ჲ	Unerklärlichkeit, Unerklärbarkeit
მბრძანებელობა-ჲ	Befehlen, Herrschen
შემაჴსენებელობა-ჲ	Erinnerung
მომჴსენებელობა-ჲ	Erwähnen, Nennen, Erinnern
ძჳრუჴსენებელობა-ჲ	Verzeihen, Vergebung
დამაყენებელობა-ჲ	Stören
განმაყენებელობა-ჲ	Trennen
მავნებელობა-ჲ	Schädigung
მატკივნებელობა-ჲ	Schmerz
მვნებელობა-ჲ	Schädigen, Schaden
უვნებელობა-ჲ	Unversehrtheit, Vollständigkeit; Unversehrtheit, Vollständigkeit
მაგინებელობა-ჲ	Schimpfen
დამადგინებელობა-ჲ	Festlegen, Festsetzen, Bestimmen
მაკუდინებელობა-ჲ	Töten, Mord
მიმავლინებელობა-ჲ	Senden, Absenden
თანაჯერმჩინებელობა-ჲ	Einverständnis
გამოუჩინებელობა-ჲ	Unsichtbarkeit
უქორწინებელობა-ჲ	Unverheiratetheit
საგონებელობა-ჲ	Zweifel, Annahme, Mutmaßung
მგონებელობა-ჲ	Dafürhalten, Betrachten
მომგონებელობა-ჲ	Gedanke, Verstand
განმკანონებელობა-ჲ	Verurteilung
მქონებელობა-ჲ	Haben, Besitzen
უკურნებელობა-ჲ	Unheilbarkeit
უნებელობა-ჲ	Unwilligkeit
მაცთუნებელობა-ჲ	Verführung
დასარწმუნებელობა-ჲ	Glaubwürdigkeit
შეუძრწუნებელობა-ჲ	Furchtlosigkeit
მადროებელობა-ჲ	Fristverlängerung
განსაპატიჟებელობა-ჲ	Bestrafen; Schuld
მჴმარებელობა-ჲ	Gebrauchen, Verwenden
შემწყნარებელობა-ჲ	Gehorsam, Annahme
ღმრთიშემწყნარებელობა-ჲ	Gottgläubigkeit, Gottbekennung
განმამწარებელობა-ჲ	Belästigung
მახარებელობა-ჲ	Benachrichtigung
მოუმედგრებელობა-ჲ	Aufrichtigkeit, Hartnäckigkeit, Fleiß
მკადრებელობა-ჲ	Wagen, Wagnis
უკადრებელობა-ჲ	Unzulässigkeit
მვედრებელობა-ჲ	Flehen, Bitten
მაყუედრებელობა-ჲ	Beschuldigen, Vorhaltung, Vorwurf
სამკჳდრებელობა-ჲ	Ansiedelung
შემანაწევრებელობა-ჲ	Vereinigung
განუშოვრებელობა-ჲ	Untrennbarkeit, Ganzheit
გარეშეუსაზღვრებელობა-ჲ	Grenzenlosigkeit
შესაკრებელობა-ჲ	Versammlung
კიდეშესაკრებელობა-ჲ	gesonderte Versammlung
შემომკრებელობა-ჲ	Versammlung
წყლისმკრებელობა-ჲ	Wassersammeln
განუშორებელობა-ჲ	Untrennbarkeit, Ganzheit; Untrennbarkeit, Ganzheit
განმასწორებელობა-ჲ	Begradigen, Verbessern, Berichtigen
სამსახურებელობა-ჲ	Dienen
განუვაჭრებელობა-ჲ	Unverkäuflichkeit
განმაწესებელობა-ჲ	Festlegung, Festlegen
შეუმსგავსებელობა-ჲ	Unangemessenheit
მაქებელობა-ჲ	Lob, Preis
კეთილმაქებელობა-ჲ	Preisen, Rühmen
საქებელობა-ჲ	Lob, Preis
ამღებელობა-ჲ	Nehmen, Einnehmen, Erhalten, Bekommen, Einnahme, Annahme, Entgegennahme
მიმღებელობა-ჲ	Wegnehmen; Gutheißen, Anerkennung, Anhörung
განმაძღებელობა-ჲ	Sättigen
განუძღებელობა-ჲ	Unersättlichkeit
დამვიწყებელობა-ჲ	Vergessen, Mißachtung
დამწყებელობა-ჲ	Anfangen, Beginnen
დაუწყებელობა-ჲ	Anfangslosigkeit
წარსატაცებელობა-ჲ	Entführung, Raub
მტაცებელობა-ჲ	Rauben, Wegnehmen
დამამტკიცებელობა-ჲ	Bestätigung
შემამტკიცებელობა-ჲ	Bestätigung, Bekräftigung, Vereinigung
დაუმტკიცებელობა-ჲ	Unbeständigsein, Schwanken
მიმნიჭებელობა-ჲ	Schenken
მომნიჭებელობა-ჲ	Schenken
მავასხებელობა-ჲ	Verleihen, Geldverleihen
შეუხებელობა-ჲ	Unberührtheit, Unberührbarkeit
შემაწუხებელობა-ჲ	Belästigung, Behinderung
დამატკბობელობა-ჲ	Versüßen
შესანდობელობა-ჲ	Vergebbarkeit, Vergebung
შემნდობელობა-ჲ	Vergebung
მტრიობელობა-ჲ	Zügellosigkeit, Hemmungslosigkeit
მამხიობელობა-ჲ	Sehenswürdigkeit
მგალობელობა-ჲ	Gesang
ღმრთისმგალობელობა-ჲ	Gottesverherrlichung
მაბრალობელობა-ჲ	Beschuldigen; Beschuldigen
მაგრილობელობა-ჲ	Kühlung
საცილობელობა-ჲ	Streit
უცილობელობა-ჲ	Unbestreitbarkeit
მახლობელობა-ჲ	Nähe, Nahestehen
მჴმობელობა-ჲ	Herbeirufen, Rufen
მადნობელობა-ჲ	Schmelzen
დაუდნობელობა-ჲ	Traurigkeit, Schwermut
მაზმნობელობა-ჲ	Verführung
საცნობელობა-ჲ	Bewußtsein, Verständnis
მცნობელობა-ჲ	Erfahren, Verstehen, Wissen
წინამცნობელობა-ჲ	Vorauserkennen
მხოლოდმცნობელობა-ჲ	Alleinwissen
კეთილმცნობელობა-ჲ	Verstehen, Verständnis, Verstand
წინაწარმცნობელობა-ჲ	Vorhererfahren
წინაჲსწარმცნობელობა-ჲ	Vorauserkennen
უცნობელობა-ჲ	Dummheit, Unverständnis; Dummheit, Unverständnis
კეთილმგრძნობელობა-ჲ	Verstehen, Begreifen
უგრძნობელობა-ჲ	Unverständnis
დაუჭნობელობა-ჲ	Unverwelktheit
დასაპყრობელობა-ჲ	Beschwichtigung
ჴელისამპყრობელობა-ჲ	Hilfe, Unterstützung
სოფლისმპყრობელობა-ჲ	Regieren des Landes
საყდრისმპყრობელობა-ჲ	Bischofsamt
დაუპყრობელობა-ჲ	Nichtzurückhaltung, Ungeduld
შეუპყრობელობა-ჲ	Freiheit
მვაჭრობელობა-ჲ	Handel, Handeln
მთხრობელობა-ჲ	Erzählen, Sprechen
მომთხრობელობა-ჲ	Erzählen
მიუთხრობელობა-ჲ	Unsagbarkeit, Unsäglichkeit
განმატფობელობა-ჲ	Wärmen
მშობელობა-ჲ	Elternstand
უშობელობა-ჲ	Ungeborensein
განმბჭობელობა-ჲ	Richten
მდრანჯობელობა-ჲ	schamloses Hofmachen
საძაგელობა-ჲ	Abscheulichkeit
საწადელობა-ჲ	Wunsch, Sehnen
სიტყუასაწადელობა-ჲ	Geschwätzigkeit
წარმწყმედელობა-ჲ	Vernichtung
განმწმედელობა-ჲ	Reinigen
განმსყიდელობა-ჲ	Verkaufen
დამწინდელობა-ჲ	Verlobung
უსაზრდელობა-ჲ	Hunger, Nahrungsmittelmangel
მზრდელობა-ჲ	Ernähren, Aufziehen, Erziehen
ჭაბუკთმზრდელობა-ჲ	Jugenderziehung
მფრდელობა-ჲ	Handeln
გამომცდელობა-ჲ	Anblick, Aufsicht
განუცდელობა-ჲ	Unsichtbarkeit
წინამხედველობა-ჲ	Voraussicht
მრუმედმხედველობა-ჲ	Schwachsichtigkeit
წინაწარმხედველობა-ჲ	Vorhersehen
წინააღმზიდველობა-ჲ	Hochheben, Emporheben
მცოდველობა-ჲ	Sündigen
მარბეველობა-ჲ	Angreifen, überfallen, Anspornen
ზედამარბეველობა-ჲ	Angriff
განმლეველობა-ჲ	Zerstören, Vernichten
გამოუკულეველობა-ჲ	Unerforschbarkeit
მძლეველობა-ჲ	Geben; überwinden, Siegen
კათაკუმეველობა-ჲ	Ungetauftheit
მჴუმეველობა-ჲ	Benutzen, Gebrauchen, Verwenden
განმაბნეველობა-ჲ	Verstreuen, Vertreibung
განუბნეველობა-ჲ	Aufmerksamkeit, Konzentration
მიმოგანუბნეველობა-ჲ	Aufmerksamkeit
შემამრღუეველობა-ჲ	Durcheinanderbringen
შეუმრღუეველობა-ჲ	Frieden, Ruhe
უჩუეველობა-ჲ	Ungewöhnlichkeit
მისამთხუეველობა-ჲ	Finden
მიუმთხუეველობა-ჲ	Unverständnis
შეურყეველობა-ჲ	Unerschütterlichkeit, Festigkeit
განმარჩეველობა-ჲ	Auswählen
განსარჩეველობა-ჲ	Unterscheiden
აღმრჩეველობა-ჲ	Auswahl, Wahl
მიმომქცეველობა-ჲ	Schwanken
უქცეველობა-ჲ	Festigkeit, Unveränderlichkeit
გარეშეუქცეველობა-ჲ	Richtigkeit
მოუქცეველობა-ჲ	Reuelosigkeit
მაკურთხეველობა-ჲ	Segnen
უთხზველობა-ჲ	Ungeflochtenheit
მროკველობა-ჲ	Tanzen
მიმთუალველობა-ჲ	Erhalten, Annehmen
მოუთუალველობა-ჲ	Mißachtung
სახილველობა-ჲ	Schauen, Anblick, Lage
განმხილველობა-ჲ	Erblicken; Untersuchen, Richten
წინაგანმხილველობა-ჲ	vorherige Berücksichtigung
მკლველობა-ჲ	Töten, Mord
ანკანაკობით მკლველობა-ჲ	aus Unbedachtsamkeit begangener Totschlag
მიდებელობით მკლველობა-ჲ	unbedachter Totschlag
ყრმათმკლველობა-ჲ	Kindermord
უცხოთმკლველობა-ჲ	Tötung eines Fremden
მომწამლველობა-ჲ	Zaubern, Vergiften
მყურიმლველობა-ჲ	Ohrfeige
განუვლთოლველობა-ჲ	Unumgänglichkeit
ულპოლველობა-ჲ	Unvergänglichkeit, Unverdorbenheit
მომსპოლველობა-ჲ	Vernichten
სალტოლველობა-ჲ	Ausweichen, Fliehen, Meiden
მჴედართმძღუანველობა-ჲ	Feldherrenamt
წარუტყუენველობა-ჲ	Unentführbarkeit, Schutz, Bewahrung
მკუთნველობა-ჲ	Bekenntnis
განმკუთნველობა-ჲ	Aneignung
დამთრგუნველობა-ჲ	Zerstampfen
დაუთრგუნველობა-ჲ	Ungestampftheit, Stärke
წინამზრუნველობა-ჲ	Fürsorge
სულთმზრუნველობა-ჲ	Seelsorge
მრავალმზრუნველობა-ჲ	große Fürsorge
მბრტჳნველობა-ჲ	Dreistigkeit
მქსოველობა-ჲ	Weben
მთხოველობა-ჲ	Bitten, Betteln
ცხოველობა-ჲ	Leben; Leben
წარუპარველობა-ჲ	Schutz, Bewahrung
მბერველობა-ჲ	Blasen, Einhauchen, Anspornen
მჭკუერველობა-ჲ	Raub, Diebstahl
მწირველობა-ჲ	Abhaltung des Gottesdienstes
შემწირველობა-ჲ	Opferung
მართლშემწირველობა-ჲ	richtiges Opfern
მსხუერპლისშემწირველობა-ჲ	Opferbringen
ნაყოფისშემწირველობა-ჲ	Opfern
საჭირველობა-ჲ	Not, Schwierigkeit
დაუმჭირველობა-ჲ	Ungestüm
უჭირველობა-ჲ	Leichtigkeit
შემკრველობა-ჲ	Binden, Fesseln, Behindern
მოსასრველობა-ჲ	Vernichtung, Ausrottung
მომსრველობა-ჲ	Vernichten
უბურველობა-ჲ	Unverhülltheit
თავდაუბურველობა-ჲ	Unverhülltsein des Kopfes
სასურველობა-ჲ	Erwünschtheit
უურველობა-ჲ	Sorglosigkeit, Unbekümmertheit
უშურველობა-ჲ	Freigebigkeit
მძრველობა-ჲ	Anstacheln, Aufhetzen, Klagen
შეუძრველობა-ჲ	Festigkeit, Unerschütterlichkeit
განსაკჳრველობა-ჲ	Erstaunen, Verwunderung
მთესველობა-ჲ	Säen
უპარსველობა-ჲ	Unrasiertheit, Ungeschnittenheit
უტყუველობა-ჲ	Wahrheit
მწუველობა-ჲ	Verbrennen
მომრწყველობა-ჲ	Kühlen
გარეშემცველობა-ჲ	Eingrenzung, Begrenzung
საუნჯეთმცველობა-ჲ	Schatzhüten
წარმცველობა-ჲ	Beobachtung, Aufsicht
მლოცველობა-ჲ	Beten, Flehen
საფუძველობა-ჲ	Grundlegung
განუნახველობა-ჲ	Unbedachtsamkeit
მაღალმზრახველობა-ჲ	Dreistigkeit, Hochmut
მაღლისმზრახველობა-ჲ	Hochmut
განუზრახველობა-ჲ	Unbedachtheit, Unabgestimmtheit
მსახველობა-ჲ	Ausdruck
დამსახველობა-ჲ	Schaffen, Darstellen
მკრეხველობა-ჲ	Rauben, Plündern
ეკლესიათმკრეხველობა-ჲ	Kirchenraub
სიწმიდეთმკრეხველობა-ჲ	Plündern von Heiligtümern
სამღდელოთმკრეხველობა-ჲ	Entwendung von Kirchengut
წიგნისმკითხველობა-ჲ	Vorlesen (in der Liturgie)
განუკითხველობა-ჲ	Unbestrafbarkeit, Dummheit
დამმარხველობა-ჲ	Bewahrung, Schutz
შეურისხველობა-ჲ	Ruhe, Sanftheit
განურისხველობა-ჲ	Friedfertigkeit
მომმუხველობა-ჲ	Verbrennen, Aufplatzen
შესარაცხველობა-ჲ	Dafürhalten
მტანჯველობა-ჲ	Peinigen, Quälen
მომკუეთელობა-ჲ	Abschneiden
განუკუეთელობა-ჲ	Unteilbarkeit, Ganzheit
დაუცუეთელობა-ჲ	Unbeschnittenheit
წინადაუცუეთელობა-ჲ	Unbeschnittenheit; Unbeschnittenheit
მწურთელობა-ჲ	Lehren, Unterrichten, Abrichten
მიუდრეკელობა-ჲ	Unbeugsamkeit, Hartnäckigkeit, Richtigkeit
მასწავლელობა-ჲ	Lehren, Unterrichten
სასწავლელობა-ჲ	Lehrbefähigung
დამსწავლელობა-ჲ	Lernen, Studium
უბრძოლელობა-ჲ	Ruhe, Friedlichkeit
საძულელობა-ჲ	Haß
მსოფლელობა-ჲ	Ungebildetheit, Analphabetentum, Laientum
მჭამელობა-ჲ	Essen, Aufessen
იდუმალმჭამელობა-ჲ	heimliches Essen
შეუკდემელობა-ჲ	Unverschämtheit
მგუემელობა-ჲ	Schlagen, Peinigen
მიმცემელობა-ჲ	übergeben, Ausliefern, Schenken
სასყიდლისმიმცემელობა-ჲ	Bezahlen, Vergelten
მომცემელობა-ჲ	Geben
ნაყოფთმომცემელობა-ჲ	Fruchttragen
პატივისმცემელობა-ჲ	Verehrung
საზღვისმცემელობა-ჲ	Bezahlen, Begleichen, Vergüten
ნათლისმცემელობა-ჲ	Taufen
თაყუანისმცემელობა-ჲ	Verehren
განუცემელობა-ჲ	Unauslieferbarkeit, Unauslaßbarkeit, Treue
წინაშემდგომელობა-ჲ	Vorstehen
წინადაუდგომელობა-ჲ	Widerstandslosigkeit
განუვრდომელობა-ჲ	Ständigkeit, Untrennbarkeit
მიუწუდომელობა-ჲ	Unverständnis
მისაწდომელობა-ჲ	Erreichbarkeit, Verständlichkeit
მიუწდომელობა-ჲ	Unverständnis; Unverständnis
