მეერთისა	Pantokrator
შერყეულება-ჲ	Beben, Erschütterung, Absetzung
ჭურრჩეულება-ჲ	Reichtum
გარდაქცეულება-ჲ	Verführung
მროწეულება-ჲ	Herde; Vielzahl
მოხაზულება-ჲ	Zeichnung, Umriß
ოქროთხზულება-ჲ	Vergolden
შეკრძალულება-ჲ	Vorsicht, Schutz
განკრძალულება-ჲ	Vorsicht, Zurückhaltung
მოკრძალულება-ჲ	Schutz, Bedeckung
ძჳრხილულება-ჲ	Missetat, Verbrechen
თავდგმულება-ჲ	Krone
კდემულება-ჲ	Zurückhaltung, Scham
ღელვაგუემულება-ჲ	Erregung, Toben
დაცემულება-ჲ	Stürzen, Sturz, Umstürzen, Niederfallen, Sündenfall
გარდაცემულება-ჲ	Fülle
პატივცემულება-ჲ	Verehrung, Stellung, Amt
განთქუმულება-ჲ	Ruhm
სახელგანთქუმულება-ჲ	Ruhm, Berühmtheit
მიმოგანთქუმულება-ჲ	Nachrichtenverbreitung
მრავალგანთქმულება-ჲ	Berühmtheit
მორთხმულება-ჲ	Tapferkeit, Wagemut
მოსხმულება-ჲ	Pflastern
შექმნულება-ჲ	Machen, Schaffen; Werk
ღმერთქმნულება-ჲ	Gottheit, Vergöttlichung, Göttlichkeit
უდაბნოქმნულება-ჲ	Einsamkeit, Alleinsein
უჩინოქმნულება-ჲ	Vernichten, Verschwinden
უღონოქმნულება-ჲ	Not, Elend, Unvermögen
უცხოქმნულება-ჲ	Entfernen
წარპარულება-ჲ	Stehlen, Rauben
თავმოყუარულება-ჲ	Stolz
დაფარულება-ჲ	Verbergen, Geheimnis
მიფარულება-ჲ	Geheimnis
უსრულება-ჲ	Unvollkommenheit
უძრულება-ჲ	Kraftlosigkeit, Schwäche, Krankheit, Unvermögen; Kraftlosigkeit, Schwäche, Krankheit, Unvermögen
განთესულება-ჲ	Verstreuen
თანაშექუსულება-ჲ	Vereinen
ურწყულება-ჲ	Wasserlosigkeit
დაჴშულება-ჲ	Schließen
ძმათმოძულება-ჲ	Bruderhaß
კაცთმოძულება-ჲ	Menschenhaß
სიქალწულება-ჲ	Jungfräulichkeit, Jungfernschaft
თანამეუღლება-ჲ	Eheverhältnis
თანაშეუღლება-ჲ	Heiraten
ულვაშთმიახლება-ჲ	Zeit des ersten Schnurrbartwachsens
გარდასახლება-ჲ	Umsiedeln
მოსისხლება-ჲ	Blutbesudeln
გამუჴლება-ჲ	in Abschnitte gliedern (Text)
სახელისმოდგამება-ჲ	Namensvetternschaft
ცრუჲს-წამება-ჲ	Verleumdung
ცილისშეწამება-ჲ	Verleumdung
მოწამება-ჲ	Zeugnis, Martyrium
თანამოწამება-ჲ	Bezeugen
ძჳრისწამება-ჲ	Verklagen wegen einer Missetat
ცრუწამება-ჲ	falsches Zeugnis
სახისჩემება-ჲ	Heucheln, Betrügen, Vortäuschen
უზმება-ჲ	Hungern
შემდგომითი შემდგომება-ჲ	Folge, Abfolge, Reihenfolge
ტომება-ჲ	Verwandtschaft
წერით მოსაქმება-ჲ	Schreiben, Abschreiben
ქრისტეანება-ჲ	Christentum
ამპარტავანება-ჲ	Hochmut, Stolz, überheblichkeit
ანპარტავანება-ჲ	Hochmut, Stolz, überheblichkeit; Hochmut, Stolz, überheblichkeit
მწინკულევანება-ჲ	Schmutzigkeit
სახარულევანება-ჲ	Freude
მხივანება-ჲ	Eiter
ცმელოვანება-ჲ	Fettigkeit
ძნელოვანება-ჲ	Not, Schwierigkeit
ჯეროვანება-ჲ	Ordentlichkeit, Anständigkeit
ნათელცისკროვანება-ჲ	Hervorleuchten
ყვანება-ჲ	Wegbringen, Fortbringen
თანაყვანება-ჲ	Hinführen, Hinbringen
თანამიყვანება-ჲ	Hinführen, Hinbringen
უკუნყვანება-ჲ	Zurückholen, Zurückschicken
თანააღმოყვანება-ჲ	Heraufholen
ზნოანება-ჲ	Bosheit, Schlechtigkeit
რაოდენება-ჲ	Maß, Menge, Anzahl
ძჳრისმოჴსენება-ჲ	Nachtragen, Nachtragendsein
ძჳრჴსენება-ჲ	Nachtragen, Unfähigkeit zu verzeihen
ძჳრისჴსენება-ჲ	Nachtragen, Unfähigkeit zu Verzeihen
მოგზავნება-ჲ	Kommen
აღზუავნება-ჲ	Hochmut / Stolz; Hochmut / Stolz
წარდევნება-ჲ	Vertreiben, Verjagen
ჰასაკოვნება-ჲ	Größe
სიტყუაჴელოვნება-ჲ	bildhaftes Reden
ცუდჴელოვნება-ჲ	Vergeblichkeit
ჰავჴელოვნება-ჲ	Schlechtigkeit, Bosheit, Bösartigkeit
აჩრდილოვნება-ჲ	Schattenhaftigkeit, ähnlichkeit
მწუანვილოვნება-ჲ	Kräuterich
მარილოვნება-ჲ	Salzigkeit
თესლოვნება-ჲ	Samen
გუამოვნება-ჲ	Fleischlichkeit
სამგუამოვნება-ჲ	Dreifaltigkeit, Dreieinigkeit
ჰამოვნება-ჲ	Angenehmheit
ვნებულგემოვნება-ჲ	Unersättlichkeit
ნიშნოვნება-ჲ	Zeichen
მოპოვნება-ჲ	Finden, Gewinnen, Erwerben
ღჳრღუაროვნება-ჲ	Unwegsamkeit
სამხატოვნება-ჲ	Dreigestaltigkeit
მარგალიტოვნება-ჲ	Glanz
სახოვნება-ჲ	Schönheit
თავმოთნება-ჲ	Selbstgefälligkeit, Stolz
კაცთმოთნება-ჲ	Schmeichelei, Gefallen
თავსმოთნება-ჲ	Selbstgefälligkeit, Stolz; Selbstgefälligkeit, Stolz
პირთნება-ჲ	Schmeicheln
ჯობინება-ჲ	übertreffen; übertreffen
კუალს-დგინება-ჲ	Belehren
სასყიდლითდადგინება-ჲ	Einstellen, Dingen
შედგინება-ჲ	Hineinstellen
გულსმოდგინება-ჲ	Fleiß, Streben
წინააღდგინება-ჲ	Gegenüberstellen, Hinstellen
წუადინება-ჲ	Räkeln
წარმოდინება-ჲ	Herbeifließen
აღმოდინება-ჲ	Herausfließen
მოსმინება-ჲ	Hörenlassen
ზედგამოჩინება-ჲ	Erscheinen
მრავალნება-ჲ	unterschiedlichen Willens
ზმნება-ჲ	Erfahren, Erkennen, Vorhersehen, Denken, Beabsichtigen
მოლაზონება-ჲ	Mönchsein, Nonnesein, Mönchwerden, Nonnewerden; Mönchsein, Nonnesein,
დიაკონება-ჲ	Dienst als Diakon
თანამონება-ჲ	gemeinsamer Dienst
მრავალღონება-ჲ	große List, Hinterlist
მოღონება-ჲ	Zustandebringen, Bewerkstelligen
ყუავილოსნება-ჲ	Blüte, Schönheit
გჳრგჳნოსნება-ჲ	Gekröntsein
შემონაზუნება-ჲ	Mönchwerden
რცხჳნება-ჲ	Beschämen, Scham
შერცხჳნება-ჲ	Scham, Schämen, Beschämung
უცნობოება-ჲ	Unverständnis, Dummheit
ურიდოება-ჲ	Unverschämtheit
უთავოება-ჲ	Führungslosigkeit
უპატივოება-ჲ	Mißachtung
უნივთოება-ჲ	Immaterialität
უღმთოება-ჲ	Ungläubigkeit; Ungläubigkeit
უძალოება-ჲ	Kraftlosigkeit
მესაიდუმლოება-ჲ	Geheimnislösen
უკრძალულოება-ჲ	Dreistigkeit, Ungeniertheit
უნაკლულოება-ჲ	Vollständigkeit
უსრულოება-ჲ	Unvollkommenheit; Unvollkommenheit
ურჩულოება-ჲ	Gesetzeswidrigkeit, Ungerechtigkeit, Missetat
უსისხლოება-ჲ	unblutiges Opfer
უსირცხჳლოება-ჲ	Unverschämtheit
დაუსაბამოება-ჲ	Anfangslosigkeit
თანადაუსაბამოება-ჲ	Anfangslosigkeit, Ewigkeit
უჟამოება-ჲ	Unzeitigkeit, Ungelegenheit
უგუამოება-ჲ	Immaterialität
უზომოება-ჲ	Maßlosigkeit
უდაბნოება-ჲ	Einöde, unbesiedelte Gegend
მეუდაბნოება-ჲ	Eremitenleben
ყოვლადსათნოება-ჲ	übergroße Barmherzigkeit
საჩინოება-ჲ	Klarheit, Deutlichkeit; Art
უჩინოება-ჲ	Unsichtbarkeit, Verborgenheit
უქონოება-ჲ	Armut
უოხჭნოება-ჲ	Unvollendetheit
მდიდროება-ჲ	Reichtum
უმთავროება-ჲ	Führerlosigkeit
უმშჯავროება-ჲ	Ungerechtigkeit; Ungerechtigkeit
წჳმროება-ჲ	Regenzeit
მრავალწჳმროება-ჲ	Regenzeit
მწჳმროება-ჲ	Regenwetter, Regenzeit
მცირედმწჳმროება-ჲ	Trockenheit, Dürre
უსწოროება-ჲ	Ungleichheit
ძელითხუროება-ჲ	Tischlerarbeit, Zimmermannsarbeit
სიტფოება-ჲ	Wärme; Wärme
უშიშოება-ჲ	Furchtlosigkeit; Furchtlosigkeit
უჴორცოება-ჲ	Körperlosigkeit
უსახოება-ჲ	Böses, Bosheit; Böses, Bosheit
მდებარება-ჲ	Liegen, Lage, Sein
მგზებარება-ჲ	Anzünden, Brennen
მძიმედმხედვარება-ჲ	schlechtes Sehen
მგლინვარება-ჲ	Glätte
მგლოვარება-ჲ	Trauer
მწოვარება-ჲ	Saugen, Säugen
თანაზიარება-ჲ	Teilnahme, Einheit
მწოლარება-ჲ	Liegen
მძრწოლარება-ჲ	Furcht, Zittern
მდგომარება-ჲ	Sein, Stehen, Lage
მართლმდგომარება-ჲ	Richtigkeit, Wahrheit
მკრთომარება-ჲ	Herausschimmern
მცენარება-ჲ	Pflanzentum
ნაყოფთმცენარება-ჲ	Fruchtbarkeit
მოცინარება-ჲ	Lachen
უცხოთშეწყნარება-ჲ	Aufnahme von Fremden
უპოარება-ჲ	Armut; Armut
მართლაღსარება-ჲ	Orthodoxie
ძმათმოყუარება-ჲ	Bruderliebe, Nächstenliebe
ნოვაგთმოყუარება-ჲ	Eßlust
ტკივილთმოყუარება-ჲ	Mitgefühl, Streben
შვილთმოყუარება-ჲ	Kinderliebe
უცხოთმოყუარება-ჲ	Gastfreundlichkeit
სტუმართმოყუარება-ჲ	Gastfreundschaft
საჴმართმოყუარება-ჲ	Eigennutz
თჳსთმოყუარება-ჲ	Nächstenliebe
ვნებულმოყუარება-ჲ	Lüsternheit
დიდებისმოყუარება-ჲ	Ruhmsucht
ცილობისმოყუარება-ჲ	Streitsucht
მტერობისმოყუარება-ჲ	Feindschaftsliebe, Streitsucht
მთავრობისმოყუარება-ჲ	Machthunger, Karrieretum
თხრობისმოყუარება-ჲ	Erzählfreude
თავისმოყუარება-ჲ	Ehrliebe, Ehrgeiz
ძლევისმოყუარება-ჲ	Siegesgewohnheit, Stolz
პატივისმოყუარება-ჲ	Ehrgeiz
ღმრთისმოყუარება-ჲ	Liebe zu Gott, Frömmigkeit
ვეცხლისმოყუარება-ჲ	Liebe zum Geld
ვერცხლისმოყუარება-ჲ	Liebe zum Geld; Liebe zum Geld
შრომისმოყუარება-ჲ	Arbeitsliebe
სიბრძნისმოყუარება-ჲ	Philosophie
სტუმრისმოყუარება-ჲ	Gastfreundschaft
ოქროჲსმოყუარება-ჲ	Goldliebhaberei, Goldgier
მზუაობრება-ჲ	Hochmut
ცუდადმზუაობრება-ჲ	Hochmut, Stolz
ფიცხელმკელობრება-ჲ	starkes Hinken
ღმრთის-კადრება-ჲ	Widerstand / Unbotmäßigkeit gegenüber Gott
უმკჳდრება-ჲ	Unbesiedeltheit, Erbenlosigkeit
ნათიერება-ჲ	Leuchten, Licht
წყლითმანკიერება-ჲ	Wassersucht
ცოლიერება-ჲ	Beweibtsein
ჴმაშუენიერება-ჲ	angenehmer Klang
ფერშუენიერება-ჲ	Schönheit, Schönfarbigkeit
სიტყუაპოვნიერება-ჲ	Schlagfertigkeit
ქონიერება-ჲ	Besitz, Habe, Reichtum
წინაჲთმეცნიერება-ჲ	Vorauserkennen
მართლმეცნიერება-ჲ	richtiges Wissen, Wahrheit, Weisheit
ღმრთისმეცნიერება-ჲ	Gotterkennen, Theologie
პოხნიერება-ჲ	Fettheit, Reichtum; Fettheit, Reichtum
ხატიერება-ჲ	Gesicht, Darstellung
მშიერება-ჲ	Hunger
მრავალფერება-ჲ	Vielfalt
უპოვრება-ჲ	Armut
წინაგანსაზღვრება-ჲ	Festlegung
ხილისმოკრება-ჲ	Obsternte, Herbst
უწჳმრება-ჲ	Regenlosigkeit, Dürre
ნესტორება-ჲ	Nestorianertum
მოგზაურება-ჲ	Reise
საცნაურება-ჲ	Klarheit, Zeichen
უცნაურება-ჲ	Unverständlichkeit, Unbegreiflichkeit
ფანდურება-ჲ	auf der Leier spielen
უსუსურება-ჲ	Kraftlosigkeit, Schwäche
სიჩქურება-ჲ	Verübung einer Dummheit; Dummheit
მენავეთმოძღურება-ჲ	Schiffsführung
მღდელთმოძღურება-ჲ	Bischofsamt, Katholikosamt
კეთილადმსახურება-ჲ	Tiefgläubigkeit
მრავალთმსახურება-ჲ	Dienst an vielen Göttern
მრავალმსახურება-ჲ	großer Dienst, Fleiß
ქრისტესმსახურება-ჲ	Christusverehrung
ღმრთისმსახურება-ჲ	Gläubigkeit
ცეცხლისმსახურება-ჲ	Feueranbeterei, Mazdaismus
ანგაჰრება-ჲ	Gier, Habgier
უმეტესება-ჲ	Mehrheit, überlegenheit
ღმრთისმსგავსება-ჲ	Gottnacheifern
მთავარეპისკოპოსება-ჲ	Amt des Erzbischofs
სამწმიდაარსება-ჲ	Dreifaltigkeit
მოყუსება-ჲ	Freundschaft
უმეტჱსება-ჲ	Mehrheit, überlegenheit; Mehrheit, überlegenheit
თჳს-თჳსება-ჲ	Eigenschaft
უცხოხატება-ჲ	Außergewöhnlichkeit
მრავალბოროტება-ჲ	vielfältige Bosheit
თანაშეტყუება-ჲ	Entsprechen, Anpassen
პირუტყუება-ჲ	Nichtsprechenkönnen
საეჭუება-ჲ	Zweifelhaftigkeit
რეხუება-ჲ	Trampeln, Klopfen
ურიცხუება-ჲ	Unzähligkeit
უმარჯუება-ჲ	Ungeschicklichkeit
ცუდადმოსწრაფება-ჲ	vergebene Arbeit / Mühe
თჳთჴელმწიფება-ჲ	Freiheit
თანამყოფება-ჲ	Zusammenleben, Unterstützen
მოქალაქება-ჲ	Wirken
თანამიღება-ჲ	Mitnehmen
საზრდელთმიღება-ჲ	Essen
უკუნღება-ჲ	Zurücknahme
მიზეზისა მოღება-ჲ	Vorwand, Vorschützen
მიცემა-მოღება-ჲ	Austausch, Tausch
თესლის-გამოღება-ჲ	Samenausbildung
სახისშემოღება-ჲ	Anführen eines Beispiels
მიმოღება-ჲ	Her- und Fortbringen
აღმოდუღება-ჲ	Sprießen, Emporwachsen
გულისწყება-ჲ	Erzürnen
უშიშება-ჲ	Furchtlosigkeit
დედაკაცება-ჲ	Frauentum, Weiblichkeit, Fraulichkeit
ერისკაცება-ჲ	Bürgertum, Soldatentum, Dienst bei einem weltlichen Herrn
მძლავრწარტაცება-ჲ	gewaltsame Entführung
თანააღტაცება-ჲ	Begeisterung
ზედადამტკიცება-ჲ	Bestätigung
ცრუფიცება-ჲ	Schwören eines Meineids
შეტყორცება-ჲ	Werfen, Schießen, Hineinwerfen
თანამოღუაწება-ჲ	Unterstützen, Beistand im Kampf
ანბა-ჲ	geistlicher Vater, Mönch, Priester, Abt; geistlicher Vater, Mönch, Priester, Abt
ფრთხილბუნებაობა-ჲ	Wachsamkeit, Vorsicht
ზედაჲსზედაობა-ჲ	Häufigkeit
საყოველთაობა-ჲ	öffentlichkeit, Allgemeinheit
მჴნისთაობა-ჲ	Vorsitz am Tisch
ჰურიაობა-ჲ	Judentum, Jüdischwerden; Judentum, Jüdischwerden
ნოტიაობა-ჲ	Nässe, Feuchtigkeit
კალაობა-ჲ	Zinnhaltigkeit
უხილაობა-ჲ	Unsichtbarkeit; Unsichtbarkeit
თჳთკმაობა-ჲ	Genügsamkeit
ორჴმაობა-ჲ	Meinungsverschiedenheit
მფრთუანაობა-ჲ	Bezaubern
სხუაენაობა-ჲ	Fremdsprachigkeit
სეხნაობა-ჲ	Wesens- Namensgleichheit
მდრტჳნაობა-ჲ	Unzufriedenheit, Erregung, Murren
უწირაობა-ჲ	Nichtopferbereitschaft
დაუბურაობა-ჲ	Ungedecktheit, Dachlosigkeit
მესუხრაობა-ჲ	Fronarbeit
თანამონათესაობა-ჲ	Landsmannstum; Landsmannstum
სხჳსაობა-ჲ	fremdes Eigentum
ზეშთასიტყუაობა-ჲ	Vielrednerei, Schwätzerei
უქმსიტყუაობა-ჲ	sinnloses Gerede, Geschwätz
პატიოსანსიტყუაობა-ჲ	ehrenhaftes Erwähnen, Verherrlichen
კნინსიტყუაობა-ჲ	Wortkargheit
გულისსიტყუაობა-ჲ	überlegung, Absicht
ლიქნისსიტყუაობა-ჲ	Schmeichelei
თუალთუხუაობა-ჲ	Objektivität, Gerechtigkeit
მოფქაობა-ჲ	Mahlen
მსიძაობა-ჲ	Hurerei; Hurerei
მომზრახაობა-ჲ	Reden, Sprechen
მონაგებობა-ჲ	Erwerben, Besitz
უმონაგებობა-ჲ	Armut, Besitzlosigkeit
თავსმდებობა-ჲ	Aufsichnehmen; Aufsichnehmen
უზავებობა-ჲ	Ungleichheit, ungleiche Besitzverhältnisse, Unversöhnlichkeit
ერთნებობა-ჲ	Einmütigkeit; Einmütigkeit
უგონებობა-ჲ	Dummheit
მწყურნებობა-ჲ	Hochwasser, Wasserreichtum
ნასნებობა-ჲ	Rekonvaleszenz, Befinden nach überstehen einer Krankheit
თანანაშობობა-ჲ	ähnlichgebären
ლირბობა-ჲ	Unverschämtheit
მიმაეგობა-ჲ	Handel
სჳრინგობა-ჲ	eitriges Geschwür
ნერგობა-ჲ	Setzling
თანანერგობა-ჲ	Verwandtschaft
განქარვებადობა-ჲ	Zerstörbarkeit
ნათლისღებადობა-ჲ	Taufen
ცნობადობა-ჲ	Erkennbarkeit, Erkenntnis
ზოგადობა-ჲ	Versammlung, Menge, Einheit
საზოგადობა-ჲ	Allgemeinheit, öffentlichkeit; Allgemeinheit, öffentlichkeit
მალიადობა-ჲ	Schnelligkeit
კუალადობა-ჲ	Wiederholung
უჭმადობა-ჲ	Nichtessenkönnen
სათანადობა-ჲ	Notwendigkeit
მოწევნადობა-ჲ	Kommen, Begegnen, Erreichen, Widerfahren
დაჴსნადობა-ჲ	Auflösung
განხრწნადობა-ჲ	Verderben
თითოჲსჯერადობა-ჲ	Ersatz, Ersetzen
ყოფადობა-ჲ	Sein, Existenz
თანამოქმედობა-ჲ	Mitarbeit; Mitarbeit
შფოთისმოქმედობა-ჲ	Aufstand, Aufruhr, Streit
ქუეყანისმოქმედობა-ჲ	Bodenbearbeitung
მებრძმედობა-ჲ	Schmelzen
მეორედობა-ჲ	Reihenfolge
სიტყუადიდობა-ჲ	Großtun, Prahlen
ნიჭდიდობა-ჲ	überfluß, Fülle
ურიდობა-ჲ	Unverschämtheit; Unverschämtheit
ჴელურიდობა-ჲ	Unverschämtheit, Grobheit
შარავანდობა-ჲ	Königtum
წინდობა-ჲ	Verlobung
წელიწდობა-ჲ	Jahr, Alter
მრავალსანოაგეობა-ჲ	Unersättlichkeit
მეჭადრაგეობა-ჲ	Schachspiel
განმგეობა-ჲ	Leiten, Führen
წყლტუკლდეობა-ჲ	glatter Fels
მწუხრამდეობა-ჲ	Vorabendzeit
მიმლოდეობა-ჲ	Warten
მენარდეობა-ჲ	Würfelspiel
მითვეობა-ჲ	Gleichheit
მოჰარშივეობა-ჲ	Erwerben, Sichaneignen
ნამდჳლვეობა-ჲ	Wahrheit
თანამეარვეობა-ჲ	Zusammensein
თანამოკარვეობა-ჲ	Zusammensein
თანამონათესვეობა-ჲ	Landsmannstum
უსიკეთეობა-ჲ	Bosheit, Böses
მებარბითეობა-ჲ	Harfenspiel
მეშფოთეობა-ჲ	Aufruhr, Empörung
მოსენაკეობა-ჲ	Einsiedelei, Mönchsdasein
მეპრატაკეობა-ჲ	Lederbearbeitung
მეჯაუკეობა-ჲ	Verschwörung
მაკაბალეობა-ჲ	Streitbeilegung, Versöhnung, Verständigung
მომთრვალეობა-ჲ	Trunkenheit, Säuferei
მენაცვალეობა-ჲ	Ersetzen, Erben
მონაცვალეობა-ჲ	Wechseln, ändern, Veränderlichkeit; Erbe
მოსახელეობა-ჲ	Namensgleichheit
თანამოსახელეობა-ჲ	Namensvetternschaft
მესაშუვლეობა-ჲ	Mittelstellung
მოვაქილეობა-ჲ	Rechtsanwaltsamt
მეწამლეობა-ჲ	Zauberei, Arzneibereitung
მემსხუერპლეობა-ჲ	Opfern
მღდელთმემსხუერპლეობა-ჲ	Gottesdienst
მემამულეობა-ჲ	Herkunft aus demselben Land; Erbe, Erbschaft
მოძულეობა-ჲ	Haß; Haß
ბოროტისმოძულეობა-ჲ	Haß / Abneigung gegen das Böse
უმეუღლეობა-ჲ	Gattenlosigkeit
თანამოსარჩლეობა-ჲ	Unterstützung
მეღუაწლეობა-ჲ	Arbeiten, Kämpfen
ტჳრთმძიმეობა-ჲ	Heben / Ertragen einer schweren Last
თანამოლმეობა-ჲ	Mitgefühl
მწუანეობა-ჲ	Grün
მრისხანეობა-ჲ	Zorn, Wut; Zorn, Wut
არამოჴსენეობა-ჲ	Vergessenheit, Vergessen
ძჳრისმოჴსენეობა-ჲ	Nachtragen, Nachtragendsein; Nachtragen, Nachtragendsein
მარჯუენეობა-ჲ	Wahrheit
მრავალმოქენეობა-ჲ	inniges Flehen
მარცხენეობა-ჲ	Linkssein; Heimtücke
კაცთმოთნეობა-ჲ	Schmeichelei, Gefallen; Schmeichelei, Gefallen
ღჳნისმნეობა-ჲ	Amt des Oberkellermeisters
მოსურნეობა-ჲ	Wunsch
მემისნეობა-ჲ	Hellseherei
საუკუნეობა-ჲ	ewiges Leben, Ewigkeit
მართლმორწმუნეობა-ჲ	Orthodoxie
მეკერპეობა-ჲ	Götzendienerei
ზედამდებარეობა-ჲ	Obenauflegen, Darauflegen
წინამდებარეობა-ჲ	Vornliegen, Künftigkeit
მგზებარეობა-ჲ	Anzünden, Brennen; Anzünden, Brennen
ცეცხლმგზებარეობა-ჲ	Feuerfangen
დამომწთოლვარეობა-ჲ	Herabtropfen
მჭმუნვარეობა-ჲ	Trübsinn, Kummer, Traurigkeit; Trübsinn, Kummer, Traurigkeit
მლოცვარეობა-ჲ	Fliehen, Flucht
მგლოიარეობა-ჲ	Trauer
მწოლარეობა-ჲ	Liegen; Liegen
მღიმარეობა-ჲ	Lächeln
თანამდგომარეობა-ჲ	Hilfe, Zusammensein
წინაშემდგომარეობა-ჲ	Vorstehen
მართლმდგომარეობა-ჲ	Richtigkeit, Wahrheit; Richtigkeit, Wahrheit
მსხდომარეობა-ჲ	Sitzen
მჯდომარეობა-ჲ	Sitzen
ზედამჯდომარეობა-ჲ	Obensitzen, Vornsitzen
წინამჯდომარეობა-ჲ	Führung, Vorsitz
პირველმჯდომარეობა-ჲ	Leiten, Leitung
მდუმარეობა-ჲ	Schweigen
მრავლადმცენარეობა-ჲ	überfluß
თჳთმცენარეობა-ჲ	Selbstherausfließen (des Wassers)
მრავალმცენარეობა-ჲ	Fülle, überfluß
მძინარეობა-ჲ	Schlafen; Schlafen
მოყუარეობა-ჲ	Liebe
ცხორებისმოყუარეობა-ჲ	Lebensliebe
უპირატესობისმოყუარეობა-ჲ	Führungssucht
ძლევისმოყუარეობა-ჲ	Siegesgewohnheit, Stolz; Siegesgewohnheit, Stolz
მღჳძარეობა-ჲ	Wachheit, Wachsein; Wachheit, Wachsein
ადრეობა-ჲ	Schnelligkeit
მოსაყდრეობა-ჲ	hohes Kirchenamt
წინამოსაყდრეობა-ჲ	Vorherrschaft, Führung
მეზუერეობა-ჲ	Zolldienst
ქუემეთრეობა-ჲ	Verworfenheit
მენადირეობა-ჲ	Jagd
მეორეობა-ჲ	Reihenfolge
მეპურეობა-ჲ	Backen
მესუხრეობა-ჲ	Fronarbeit; Fronarbeit
გულსავსეობა-ჲ	Glauben, Güte; Glauben, Güte
მჭირსეობა-ჲ	Mühe, Not
მესუეტეობა-ჲ	Aufdiesäulestellen
მტეობა-ჲ	Sein, Ort
პურისმტეობა-ჲ	gemeinsames Essen
განტეობა-ჲ	Weglassen, Freilassen
მებრუეობა-ჲ	Schwindelgefühl
მენესტუეობა-ჲ	Blasinstrumentenspiel
მორცხუეობა-ჲ	Schüchternheit
მარჯუეობა-ჲ	Bewerkstelligen, Güte, Tüchtigkeit
დღითიდღეობა-ჲ	Ständigkeit
მემრუშეობა-ჲ	Hurengängerei, Ehebruch
მეკეცეობა-ჲ	Töpferei
მტკიცეობა-ჲ	Festigkeit, Stärke
ძირმტკიცეობა-ჲ	Festigkeit
მრჩობლმონაქცეობა-ჲ	Verdoppelung, Wiederholung
მიმომქცეობა-ჲ	Schwanken, Umhergehen; Schwanken, Umhergehen
მოქცეობა-ჲ	Kunstgriff, List; Tonart
მრჩობლმოქცეობა-ჲ	Wiederholung
მამაძეობა-ჲ	Verhältnis zwischen Vater und Kindern
მეანდერძეობა-ჲ	testamentarische Vererbung
მსწრაფლშემწეობა-ჲ	schnelle Hilfe
ძალმწეობა-ჲ	Hilfe
მეხარჭეობა-ჲ	Haltung einer Geliebten
სახიერებისსახეობა-ჲ	Güte
ელვისსახეობა-ჲ	Blitzen, Glänzen
ლომისსახეობა-ჲ	Löwenhaftigkeit
უსახეობა-ჲ	Böses, Bosheit
მიმოდამთხეობა-ჲ	Umherstreuen, Verstreuen
ჰეობა-ჲ	Bestätigung
პირველმესაინაჴეობა-ჲ	Vorsitzen
პირველსაინაჴეობა-ჲ	Vorsitzen
მეინაჴეობა-ჲ	Tischgenossenschaft, Tischrunde, Tafel
მგრძნებავობა-ჲ	Zauberei
სახედავობა-ჲ	Anblick, Vorstellung
მრავალთავობა-ჲ	Vielführerschaft
თთჳსთავობა-ჲ	Monatsanfang
უხილავობა-ჲ	Unsichtbarkeit; Unsichtbarkeit
მიმოწლონავობა-ჲ	Umherlungern
მფრტჳნავობა-ჲ	Dreistheit
უზოპავობა-ჲ	Wahrhaftigheit
მოძრავობა-ჲ	Bewegung
თჳთმოძრავობა-ჲ	Weitergabe (des Besitzes)
ნათესავობა-ჲ	Verwandtschaft, Volk, Generation, Art; Verwandtschaft, Volk, Generation, Art
კეთილადმოსავობა-ჲ	große Hoffnung
თუალუხუავობა-ჲ	Unvoreingenommenheit
მსიძავობა-ჲ	Hurerei
მიმომქცევობა-ჲ	Schwanken, Umhergehen
მოქცევობა-ჲ	Kunstgriff, List; Tonart
მრავალმოქცევობა-ჲ	Dauer, lange Zeitdauer
ერისთვობა-ჲ	Heerführerschaft
ციხისთვობა-ჲ	Amt des Burghauptmanns
ლომებრივობა-ჲ	Löwenhaftigkeit
კაცობრივობა-ჲ	Menschenähnlichkeit
ერთპატივობა-ჲ	gleiche Stellung
სწორპატივობა-ჲ	Ehrgleichheit, Würdengleichheit
ჰავნათესვობა-ჲ	schlechte Abstammung
ძჳრნათესვობა-ჲ	Verbrechernachkommenschaft
მეთევზობა-ჲ	Fischerei
კათალიკოზობა-ჲ	Amt des Katholikos
ბარბაროზობა-ჲ	Fremdländischkeit
გალატოზობა-ჲ	Maurerhandwerk
ანდერზობა-ჲ	Berechnen, Aufzählen, Zählen; Berechnen, Aufzählen, Zählen
უნებლიეთობა-ჲ	Unwillkürlichkeit
ეგრეთობა-ჲ	solche Art
გამომეძიებლობითობა-ჲ	Untersuchung
მზიარებელობითობა-ჲ	Teilnahme am hl. Abendmahl
მხედველობითობა-ჲ	Sichtbarkeit
ვარსკულავთმსწავლელობითობა-ჲ	Astrologie
იგავითობა-ჲ	Angleichung
გამოწულილვითობა-ჲ	genaue Untersuchung
მარჯუენითობა-ჲ	Rechtssein, Wahrheit
მიწევნითობა-ჲ	Verständnis
ზედამიწევნითობა-ჲ	Wahrheit
ნებსითობა-ჲ	Freiwilligkeit
ნეფსითობა-ჲ	Freiwilligkeit; Freiwilligkeit
შფოთობა-ჲ	Aufruhr, Streit
