უჟეჟთაეს-	höchster
მიწოდებულ-ი	hergerufen, eingeladen
მოწოდებულ-ი	gerufen, eingeladen
დაკორდებულ-ი	grob / fest gemacht
განკორდებულ-ი	verwildert
დაბუდებულ-ი	eingenistet
დაყუდებულ-ი	still, leise, Asket
აღდებულ-ი	entbrannt, entflammt
მომშჳდებულ-ი	beruhigt, besänftigt
ზავებულ-ი	vermischt
დაზავებულ-ი	versöhnt
დაგზავებულ-ი	abgelagert (Wein)
შეზავებულ-ი	vermischt, angerichtet, verbunden
კეთილადშეზავებულ-ი	prächtig, gütig
თხლეშეზავებულ-ი	mit Bodensatz vom Wein vermischt; schlecht
სულშეზავებულ-ი	vom hl. Geist ergriffen
განზავებულ-ი	gemischt
თანაგანზავებულ-ი	vermischt
ჰაერგანზავებულ-ი	klimatisch gemäßigt
აღზავებულ-ი	gemischt, vermengt
დამჟავებულ-ი	sauer, verdorben
აღზუავებულ-ი	stolz / hochmütig geworden
აღყუავებულ-ი	aufgeblüht
ახალაღყუავებულ-ი	frisch erblüht
დაშავებულ-ი	schwarz, schwarz geworden
შეშავებულ-ი	leicht geschwärzt
დასწავებულ-ი	gebildet
შესწავებულ-ი	namhaft
წინამოსწავებულ-ი	angekündigt, im voraus angezeigt
ტევებულ-ი	zurückgelassen
დატევებულ-ი	dagelassen, verlassen
თმაგარდატევებულ-ი	mit herabgelassenem Haar
მიტევებულ-ი	vergeben
განტევებულ-ი	freigelassen, verlassen, einzeln
თუალგანტევებულ-ი	ungeniert
მოტევებულ-ი	vergeben; angreifend
აღმოტევებულ-ი	heraufgelassen, herausgelassen
აღტევებულ-ი	ungezügelt, ungehemmt, dreist
განწითვებულ-ი	gerötet; gerötet
შეკურივებულ-ი	befestigt
დაქურივებულ-ი	verwitwet, (Kirche) ohne Bischof
დასივებულ-ი	angeschwollen
განსივებულ-ი	angeschwollen
დასხივებულ-ი	herabgegossen
აელვებულ-ი	blitzend, leuchtend
შესოლვებულ-ი	naß gemacht; naß gemacht
აფრინვებულ-ი	aufgeflogen, fliegend
გარდამოფრინვებულ-ი	herabgeflogen
აღფრინვებულ-ი	aufgeflogen, emporgeflogen
განყინვებულ-ი	erfroren, gefroren
გამობრწყინვებულ-ი	hervorgeleuchtet, erstrahlt, aufgeleuchtet; hervorgeleuchtet, erstrahlt, aufgeleuchtet
შეჭმუნვებულ-ი	belästigt, betrübt
განგრუნვებულ-ი	verwirrt
შეზრუნვებულ-ი	fürsorgend, betreuend
ფშჳნვებულ-ი	aufgeatmet
განუცხოვებულ-ი	entfremdet, abgefallen
მოგარვებულ-ი	rings umgeben, umzäunt
განქარვებულ-ი	verloren
დაჭირვებულ-ი	bedürftig, notwendig
შეჭირვებულ-ი	in Not, notleidend
მიჭირვებულ-ი	belästigt, bedrängt
გარდაგორვებულ-ი	herabgerollt
შთაგორვებულ-ი	hinabgerollt
შთამოგორვებულ-ი	herabgerollt
წარმოგორვებულ-ი	herausgerollt, herabgerollt
შეურვებულ-ი	betrübt
ცურვებულ-ი	überzogen
ოქროცურვებულ-ი	goldüberzogen, vergoldet
განჴურვებულ-ი	erhitzt, entflammt
გამოჴურვებულ-ი	erhitzt, gebrannt, gestählt
დაკჳრვებულ-ი	verwundert, erstaunt, verblüfft
განკჳრვებულ-ი	verwundert, verblüfft
განცრუვებულ-ი	verurteilt
სიძვებულ-ი	Huren-
აგზებულ-ი	angezündet, entflammt
შთაგზებულ-ი	angezündet, angebrannt
აღგზებულ-ი	angezündet, entflammt
ამრიზებულ-ი	zornig, wütend
ბელზებულ-ი	Satan, Teufel
განბარბაროზებულ-ი	entfremdet
ბერზებულ-ი	Satan, Teufel; Satan, Teufel
აღმონათებულ-ი	heraufgeleuchtet, herausgeleuchtet
დაკუეთებულ-ი	niedergeschmettert
ზექუეკუეთებულ-ი	Besserwisser
შეკუეთებულ-ი	angeeignet, angegriffen
შენივთებულ-ი	vereint
განწითებულ-ი	gerötet
ნთებულ-ი	angezündet
აღნთებულ-ი	angezündet, brennend
შფოთებულ-ი	erregt, aufgebracht, empört
შეშფოთებულ-ი	erregt, aufgeregt
აღშფოთებულ-ი	entfacht, durcheinandergebracht, erregt, empört, beunruhigt
მართებულ-ი	fett
განმართებულ-ი	vorbereitet, bereitgemacht
მომართებულ-ი	bereitet, bereitgehalten, versehen
წარმომართებულ-ი	hergekommen, hergeschickt, stehend
წარმართებულ-ი	weggehend, abreisend; gut vorankommend
მართლწარმართებულ-ი	richtig gehend
აღმართებულ-ი	aufgerichtet
შეერთებულ-ი	vereint, verbunden, gemündet
თანაშეერთებულ-ი	passend, dazugehörig
დაკირთებულ-ი	versklavt, unterjocht
გამოძიებულ-ი	untersucht, ermittelt
დამჴიებულ-ი	grau, ergraut
ქანდაკებულ-ი	herausgemeißelt; Götzenstatue
გამოქანდაკებულ-ი	herausgemeißelt, dargestellt
ოქროქანდაკებულ-ი	Goldskulptur-
განვაკებულ-ი	eben, flach, eingeebnet
დაბანაკებულ-ი	gelagert
განსპეტაკებულ-ი	weiß gemacht / geworden, rein
დაგლახაკებულ-ი	verarmt
განჭაბუკებულ-ი	verjüngt
ცვალებულ-ი	verändert
შეცვალებულ-ი	verstorben, tot
ბუნებაშეცვალებულ-ი	altersbedingt geistesschwach
სახეცვალებულ-ი	verändert
მიცვალებულ-ი	verstorben
მიმოცვალებულ-ი	veränderlich, beweglich
ფერცვალებულ-ი	verklärt
დაწვალებულ-ი	getrennt, geteilt
განწვალებულ-ი	geteilt, getrennt
მიმოგანწვალებულ-ი	geteilt, getrennt
ტრფიალებულ-ი	verliebt
შელალებულ-ი	zerstritten
მოპეტალებულ-ი	verputzt, verschmiert
შეწყალებულ-ი	Erbarmen / Gnade gefunden
არაშეწყალებულ-ი	unbarmherzig, gnadenlos; unverzeihlich
მოცალებულ-ი	Zeit habend, untätig
დამდაბლებულ-ი	geschwächt, erniedrigt, unterdrückt
დაობლებულ-ი	verwaist
მიმადლებულ-ი	segensreich, reich gesegnet
განედლებულ-ი	in Saft geschossen
განცხოველებულ-ი	belebt, geheilt
განმრთელებულ-ი	geheilt, genesen
დაცარიელებულ-ი	geleert, leer
განჴორციელებულ-ი	zu Fleisch geworden
დაბნელებულ-ი	verdunkelt, verfinstert; gefehlt, geirrt, Sünder
შებნელებულ-ი	leicht dämmrig
შენელებულ-ი	gewürzt
განძნელებულ-ი	erschwert
მოძნელებულ-ი	befestigt, gestärkt
ჭრელებულ-ი	farbig, bunt
დაძუელებულ-ი	veraltet, alt
მოწრფელებულ-ი	begradigt
განზრქელებულ-ი	verdickt, verhärtet
განვრცელებულ-ი	weit, ausführlich
განგრძელებულ-ი	fortgesetzt
გახელებულ-ი	wild, aufgebracht, tobend
დათხელებულ-ი	dünn geworden
განმრავლებულ-ი	vermehrt
მოვლებულ-ი	herumgeführt
დასოვლებულ-ი	naß gemacht
შესოვლებულ-ი	naß gemacht
განათლებულ-ი	hell, rein
განწითლებულ-ი	gerötet
განმართლებულ-ი	gerechtfertigt, richtig
დაყჳთლებულ-ი	vergilbt, gelb geworden
დაჩრდილებულ-ი	überdeckt, schattig
აღყუავილებულ-ი	zum Blühen gebracht
შვილებულ-ი	adoptiert, an Kindes statt angenommen
დაბორკილებულ-ი	gefesselt, gekettet
შებორკილებულ-ი	in Fesseln gelegt, gefesselt
აღბორკილებულ-ი	in Ketten / Fesseln gelegt
შეწულილებულ-ი	verkleinert, dünn geworden, betrübt
დამწულილებულ-ი	zerstückelt
განგრილებულ-ი	kalt; gleichgültig
დამორჩილებულ-ი	gefügig, gehorsam
შეცილებულ-ი	geirrt, gefehlt
განაწილებულ-ი	aufgeteilt, zugeteilt
დანაწილებულ-ი	geteilt, aufgeteilt, verteilt
მხილებულ-ი	aufgedeckt
დაკლებულ-ი	vermindert, abgezogen, verringert
გულკლებულ-ი	gekränkt, beleidigt
განბოკლებულ-ი	aussätzig, leprakrank
მოკლებულ-ი	verringert, vermindert, nicht habend, schwach
არამოკლებულ-ი	vollzählig, unvermindert, vollständig, voll
შემოკლებულ-ი	verringert, vermindert, gering, klein
სულშემოკლებულ-ი	kraftlos, verzweifelt
ათრთოლებულ-ი	zitternd
დაბრკოლებულ-ი	verführt, geirrt, gefehlt
შებრკოლებულ-ი	behindert, geirrt
დაყროლებულ-ი	stinkend
შეყროლებულ-ი	stinkend
აღყროლებულ-ი	stinkend
დაგესლებულ-ი	rostig, verdorben
განგესლებულ-ი	vergiftet
მომრგულებულ-ი	rund, gerundet
დასნეულებულ-ი	erkrankt
შემწინკულებულ-ი	beschmutzt, geschändet
განმხიარულებულ-ი	erfreut
მირულებულ-ი	eingeschlafen, eingeschlummert
გასრულებულ-ი	beendet, vollendet; tot; beendet, vollendet; tot
დასრულებულ-ი	beendet, vollendet
შესრულებულ-ი	beendet, vollendet
განსრულებულ-ი	beendet, vollendet; tot
ახალგანსრულებულ-ი	gerade / eben abgeschlossen
აღსრულებულ-ი	beendet, gemacht, verstorben, vollkommen
მართლაღსრულებულ-ი	richtig vollendet
დასულებულ-ი	erstaunt, verwundert, verblüfft
შესულებულ-ი	erschrocken, verwundert, verblüfft, verdattert, verblödet
განშიშულებულ-ი	entblößt
მოძულებულ-ი	verhaßt
შეოფლებულ-ი	in Schweiß gebadet
უფლებულ-ი	herrschend, Herr
დაუფლებულ-ი	in Besitz genommen
განთავისუფლებულ-ი	befreit
ამაღლებულ-ი	stolz, erhöht, emporgestiegen
აღმაღლებულ-ი	stolz, erhöht, emporgestiegen
დაუღლებულ-ი	ins Joch gespannt
შეუღლებულ-ი	verbunden
შებაყლებულ-ი	verschmutzt, verdorben
არაძლებულ-ი	krank, siech
მასპინძლებულ-ი	bewirtet
შეახლებულ-ი	angenähert, nähergekommen
მიახლებულ-ი	angenähert
განახლებულ-ი	erneuert
მოახლებულ-ი	nähergekommen
შემოახლებულ-ი	nähergekommen
განცოცხლებულ-ი	gesundet, geheilt, wieder aufgelebt
განაკუერცხლებულ-ი	zu Glut geworden
დანაკუერცხლებულ-ი	zu Glut geworden
დაბრყჳლებულ-ი	erschlafft, abgestumpft
კამკამებულ-ი	glänzend, blitzend
დაწამებულ-ი	verleumdet, beschuldigt
თანაწამებულ-ი	einverstanden
შეწამებულ-ი	verglichen, überprüft
ჭამებულ-ი	dick, fett, gut genährt, gemästet
ჩემებულ-ი	angeeignet
გაჩემებულ-ი	übereignet, angeeignet, festgelegt; übereignet, angeeignet, festgelegt
განჩემებულ-ი	übereignet, angeeignet, festgelegt
უზმებულ-ი	hungrig
შეკდიმებულ-ი	beschämt
დამძიმებულ-ი	erschwert, überladen, schwerfällig
დადუმებულ-ი	verstummt
შეხაშმებულ-ი	erkrankt, gelähmt
დავანებულ-ი	angesiedelt, niedergelassen
ყვანებულ-ი	weggeschafft
შთაყვანებულ-ი	hinabgeführt, hinabgebracht
თანამიყვანებულ-ი	hingebracht
მოყვანებულ-ი	hergeholt, herangeführt
შთამოყვანებულ-ი	degradiert, herabgesetzt
მიმოყვანებულ-ი	her- und fortgebracht
წარყვანებულ-ი	weggeführt
აღყვანებულ-ი	hinaufgeführt, hinaufgebracht
მოქრისტიანებულ-ი	christianisiert
დაკანებულ-ი	verdickt (Haut)
თარგმანებულ-ი	übersetzt, erläutert, kommentiert
ზმანებულ-ი	geträumt, Traumdeuter
სიზმრისზმანებულ-ი	träumend
შენანებულ-ი	bereut, bereuend
დადარანებულ-ი	aufgelauert, aus dem Hinterhalt; aufgelauert, aus dem Hinterhalt
მიტანებულ-ი	hingebracht, hingeschafft
ძღუანებულ-ი	geführt
მიძღუანებულ-ი	abgesandt, hingesandt
მოძღუანებულ-ი	hergeschickt
წინაწარძღუანებულ-ი	vorausgeschickt
შთაქანებულ-ი	hinabgeeilt
მოქანებულ-ი	herabgeeilt
ბრძანებულ-ი	befohlen
განხანებულ-ი	entfernt
დაგჳანებულ-ი	verspätet
შეჯაბნებულ-ი	erschrocken
განთენებულ-ი	hell geworden
კეთილადჴსენებულ-ი	seligen Andenkens
შეჴსენებულ-ი	erinnert
მოჴსენებულ-ი	erinnert, gedacht, benachrichtigt, geschenkt
ზემოჴსენებულ-ი	oben erwähnt
პირველმოჴსენებულ-ი	früher erwähnt
არმოჴსენებულ-ი	nicht erwähnbar, nicht zu gedenken
სუენებულ-ი	ausgeruht, erholt
შესუენებულ-ი	gestorben
განსუენებულ-ი	erholt
დაშუენებულ-ი	verschönert
განშუენებულ-ი	geschmückt, schön
ჩუენებულ-ი	erschienen, geträumt
შეჩუენებულ-ი	verflucht, verwünscht
დაყენებულ-ი	aufgehalten
შეყენებულ-ი	angehalten, gefangen
განყენებულ-ი	entfernt, abgefallen
შემოყენებულ-ი	haltgemacht, stehengeblieben
შენებულ-ი	erbaut, gebaut; erbaut, gebaut
დაშენებულ-ი	besiedelt, erbaut; besiedelt, erbaut
აღშენებულ-ი	erbaut; voller Güte; erbaut; voller Güte
ცენებულ-ი	aufgewachsen, aufgezogen
თივაცენებულ-ი	Unkraut
აღმოცენებულ-ი	gesprossen, aufgegangen, emporgewachsen
პირველაღმოცენებულ-ი	Sproß, Trieb
ვერაღმოცენებულ-ი	nicht emporgewachsen
დაჭენებულ-ი	gebeugt, geneigt
ვნებულ-ი	notleidend, geschädigt
ცნობავნებულ-ი	verrückt
წინავნებულ-ი	früher erkrankt
განმჟღავნებულ-ი	aufgedeckt, enthüllt
მიდევნებულ-ი	gefolgt
მოდღევნებულ-ი	betagt, alt, greis
მრავალვნებულ-ი	in äußerster Not
პოვნებულ-ი	gefunden
მოპოვნებულ-ი	gefunden, erworben
ახალმოპოვნებულ-ი	neu eingeführt
განკეთროვნებულ-ი	aussätzig, Aussätziger
დაყოვნებულ-ი	aufgehalten, verspätet
დამჴცოვნებულ-ი	alt, greis
მიმჴცოვნებულ-ი	alt, gealtert
ცხოვნებულ-ი	errettet, erlöst
განფუვნებულ-ი	aufgetrieben, gequollen, vergrößert
განმტყუვნებულ-ი	schuldig
შეჭუვნებულ-ი	belästigt, betrübt
დაცჳვნებულ-ი	abgefallen, heruntergefallen
დამოცჳვნებულ-ი	herabgefallen
გარდამოცჳვნებულ-ი	herabgefallen
წამოცჳვნებულ-ი	herausgefallen
აგზნებულ-ი	angezündet, entflammt
თნებულ-ი	Gefallen gefunden, wünschenswert
განკუთნებულ-ი	übereignet; festgelegt; charakteristisch
გინებულ-ი	geschmäht
დადგინებულ-ი	festgesetzt, festgelegt, bestimmt
სასყიდლითდადგინებულ-ი	eingestellt, gedungen
წარმოდგინებულ-ი	mitgeführt, hergebracht, vorgestellt
შეგინებულ-ი	beschmutzt, entehrt, beschimpft, geschändet
არშეგინებულ-ი	makellos, rein
მოგინებულ-ი	beschimpft, geschmäht
მოდინებულ-ი	fließend
გარდამოდინებულ-ი	herabgelaufen, herabgeflossen
აღმოდინებულ-ი	herausgeflossen, herausgeströmt
მოკუდინებულ-ი	getötet
ბრკინებულ-ი	glänzend, gleißend, blitzend
მივლინებულ-ი	abgesandt
განვლინებულ-ი	fortgeschickt, verjagt
მოვლინებულ-ი	hergesandt
გამოვლინებულ-ი	hergeschickt
შემოვლინებულ-ი	hereingeschickt
წარმოვლინებულ-ი	hergeschickt
წარვლინებულ-ი	weggeschickt
დაკნინებულ-ი	erniedrigt
შეკნინებულ-ი	verringert, Not leidend
განრინებულ-ი	gerettet
რორინებულ-ი	hin- und herlaufend, schwankend, beweglich
განფრინებულ-ი	weggeflogen, abgeflogen
შეყინებულ-ი	gefroren
აღტყინებულ-ი	angezündet, angebrannt
მოწყინებულ-ი	überdrüssig
გამობრწყინებულ-ი	hervorgeleuchtet, erstrahlt, aufgeleuchtet
აღმობრწყინებულ-ი	leuchtend, strahlend
დაშინებულ-ი	erschrocken, furchtsam
შეშინებულ-ი	verängstigt
ჩინებულ-ი	festgelegt, eingeladen; edel
განჩინებულ-ი	festgelegt, festgesetzt; Los
წინაგანჩინებულ-ი	im voraus festgelegt
გამოჩინებულ-ი	erschienen, zutreffend
წინაგამოჩინებულ-ი	im voraus erschienen
წარჩინებულ-ი	namhaft, edel, erlesen; Vertreter des Hochadels
დაძინებულ-ი	schlafend, eingeschlafen
ზედადაძინებულ-ი	hinzugefügt, vermehrt
პირველდაძინებულ-ი	früh verstorben
აღორძინებულ-ი	aufgezogen, erzogen
ქორწინებულ-ი	verheiratet
გონებულ-ი	überlegt, gewertet
მოგონებულ-ი	überlegt, beabsichtigt
წინამოგონებულ-ი	vorbedacht
დამონებულ-ი	versklavt
განკანონებულ-ი	verurteilt; offiziell festgelegt
ქონებულ-ი	Besitz, Habe
წინაქონებულ-ი	früher besitzend
არაქონებულ-ი	unbemittelt, arm
თანქონებულ-ი	Schuld
მუცელსქონებულ-ი	Embryo
დაღონებულ-ი	gebogen, gebeugt, gekrümmt; betrübt
შვილმოწონებულ-ი	eine angemessene Zahl Kinder habend
ცხონებულ-ი	errettet, erlöst; errettet, erlöst
დადარნებულ-ი	aufgelauert, aus dem Hinterhalt
განკურნებულ-ი	genesen, geheilt
აღცხენოსნებულ-ი	aufgesessen, zu Pferde
ხარჭოსნებულ-ი	Nebenfrau
რუდუნებულ-ი	erarbeitet, geschaffen
შემონაზუნებულ-ი	zum Mönch geworden
ცთუნებულ-ი	verführt, verleitet, betrogen
შეცთუნებულ-ი	verführt
რწმუნებულ-ი	vertrauend
დარწმუნებულ-ი	überzeugt
ფუფუნებულ-ი	verwöhnt, luxuriös lebend
მოძღუნებულ-ი	hergeschickt; hergeschickt
დაწუნებულ-ი	verpönt, bemängelt
შეძრწუნებულ-ი	erschrocken
შემეცნებულ-ი	erkannt, begriffen, verstanden
მცნებულ-ი	benachrichtigt
მიმცნებულ-ი	benachrichtigt
შეგრძნებულ-ი	verzaubert, verhext, verführt
დაფურძნებულ-ი	gegründet, begründet, befestigt; gegründet, begründet, befestigt
დაფუძნებულ-ი	gegründet, begründet, befestigt
შჱნებულ-ი	erbaut, gebaut
დაშჱნებულ-ი	besiedelt, erbaut
აღშჱნებულ-ი	erbaut; voller Güte
დაგჳრგჳნებულ-ი	gekrönt, bekränzt
შეღჳნებულ-ი	etwas trunken
განძჳნებულ-ი	zornig, erzürnt
შერცხჳნებულ-ი	beschämt
უსამართლოებულ-ი	ungerecht verurteilt
დროებულ-ი	verlängerte Frist
პებულ-ი	gespalten, zerrissen
დაპებულ-ი	zerrissen, zerfetzt, gespalten
კუართდაპებულ-ი	mit zerrissener Kleidung
სამოსელდაპებულ-ი	mit zerrissener Kleidung
გულპებულ-ი	betrübt
განპებულ-ი	gespalten
ფრთეგანპებულ-ი	mit geteilten Flügeln
ჭლაკგანპებულ-ი	Paarhufer
ჭლიკგანპებულ-ი	Paarhufer; Paarhufer
მრჩობლგანპებულ-ი	zweigespalten
განპატიჟებულ-ი	bestraft
საარებულ-ი	gepeinigt, gequält, elend
აღსაარებულ-ი	eingestanden, zugegeben, offenbar
შედარებულ-ი	verglichen
ზიარებულ-ი	Teilnehmer
თანაზიარებულ-ი	teilnehmend, verbündet
შეძმარებულ-ი	zu Essig geworden, angesäuert
ჴმარებულ-ი	ausgegeben, verwendet
დამტკნარებულ-ი	geronnen, gestockt
შემტკნარებულ-ი	geronnen
დაწყნარებულ-ი	beruhigt
კეთილდაწყნარებულ-ი	still, friedlich
შეწყნარებულ-ი	angenommen, gehorcht
აღსარებულ-ი	eingestanden, zugegeben, offenbar; eingestanden, zugegeben, offenbar
შეყუარებულ-ი	verliebt
დამყარებულ-ი	gegründet, begründet, verstärkt
ღმრთივდამყარებულ-ი	von Gott bestätigt
დამწარებულ-ი	bitter geworden
განმწარებულ-ი	zornig, wütend, belästigt
ხარებულ-ი	verkündet, mitgeteilt, erfreut
განცჳბრებულ-ი	erstaunt, verblüfft
განმაგრებულ-ი	gefestigt, gestärkt
მომაგრებულ-ი	verstärkt, befestigt
დამედგრებულ-ი	verängstigt, furchtsam
კადრებულ-ი	gewagt
შევედრებულ-ი	anvertraut
მივედრებულ-ი	übergeben, anvertraut
შემოვედრებულ-ი	Zuflucht gefunden
ხუედრებულ-ი	zuteil geworden
დახუედრებულ-ი	abgepaßt
ამჴედრებულ-ი	zu Pferde
აღმჴედრებულ-ი	zu Pferde
განმდიდრებულ-ი	bereichert
დასაყდრებულ-ი	angesiedelt
დამკჳდრებულ-ი	angesiedelt, besiedelt
თანადამკჳდრებულ-ი	Gatte, Gattin
დაბერებულ-ი	gealtert
მობერებულ-ი	gealtert
მოცალიერებულ-ი	geleert
წარმოცალიერებულ-ი	geleert
განძლიერებულ-ი	gestärkt, stark
განკადნიერებულ-ი	frech / dreist geworden
შემეცნიერებულ-ი	bekannt
დამღიერებულ-ი	an Krätze erkrankt
დამტუერებულ-ი	verstaubt
შემტუერებულ-ი	staubig, verstaubt
აღმღერებულ-ი	zu spielen begonnen
დაჯერებულ-ი	überzeugt, zufrieden
მიმგზავრებულ-ი	hingegangen, erreicht
განმგზავრებულ-ი	abgereist
მიმძლავრებულ-ი	unterdrückt
შენაწევრებულ-ი	vereint, verbunden
განნახევრებულ-ი	halbiert
მომდოვრებულ-ი	erschlafft, beruhigt
მიმყოვრებულ-ი	verspätet, langandauernd
განშოვრებულ-ი	entfernt, beendet; Asket
გამოშოვრებულ-ი	entfernt, beseitigt
ცხოვრებულ-ი	gewohnt, gelebt, errettet, erlöst, lebend
შესაზღვრებულ-ი	umgrenzt, eingegrenzt
განსაზღვრებულ-ი	festgelegt, bestimmt
გარეშემოსაზღვრებულ-ი	eingegrenzt, umgrenzt
განთეთრებულ-ი	weiß, weiß geworden
განკეთრებულ-ი	aussätzig, leprakrank
დაზამთრებულ-ი	überwintert
განსაკუთრებულ-ი	übereignet, angeeignet, vereinzelt
ბირებულ-ი	beauftragt, angestiftet; hinterhältig, listig
ნადირებულ-ი	erlegt, gejagt, gefangen
მონადირებულ-ი	gefangen, verführt
დაყამირებულ-ი	unfruchtbar geworden
დატირებულ-ი	beweint, betrauert
დაჴშირებულ-ი	verdickt
დამცირებულ-ი	erniedrigt, verkleinert, verringert
შემცირებულ-ი	vermindert, unterdrückt
აღმცირებულ-ი	erleichtert, leicht
კრებულ-ი	Versammlung; Synagoge, Hoher Rat
აკრებულ-ი	gesammelt; vernichtet
დაკრებულ-ი	gesammelt
ქვადაკრებულ-ი	gesteinigt
ქვაგარდაკრებულ-ი	von Steinen abgelesen
შეკრებულ-ი	gesammelt, angehäuft
ღმრთივშეკრებულ-ი	von Gott gesammelt
მიკრებულ-ი	versammelt, gesammelt
განბოკრებულ-ი	aussätzig, leprakrank; aussätzig, leprakrank
მოკრებულ-ი	versammelt, gepflückt
გამოკრებულ-ი	versammelt
შემოკრებულ-ი	angehäuft, gesammelt
ზეაღმოკრებულ-ი	herausgenommen, heraufgenommen
ნგორებულ-ი	beschmutzt, verschmiert
განშორებულ-ი	entfernt, beendet; Asket; entfernt, beendet; Asket
გამოშორებულ-ი	entfernt, beseitigt
შესწორებულ-ი	gleichgeworden
ცხორებულ-ი	gewohnt, gelebt, errettet, erlöst, lebend
თანაცხორებულ-ი	zusammenlebend
მართლცხორებულ-ი	ordentlich / anständig lebend
მყოვარცხორებულ-ი	lang lebend, langlebig
დაფატრებულ-ი	vertrocknet, entkräftet
მობადურებულ-ი	gefangen, auf seine Seite gezogen
განველურებულ-ი	verwildert
მოუძლურებულ-ი	geschwächt, erkrankt
მოუსუსურებულ-ი	geschwächt
მსახურებულ-ი	verwendet, gebraucht
სხურებულ-ი	besprengt, benetzt, besprenkelt
შედღრებულ-ი	miteinander vermengt / vermischt / verknetet
შეიწრებულ-ი	bedrängt, belästigt
მისწრებულ-ი	rechtzeitig hingelangt
შემწუხრებულ-ი	finster geworden
მოოჴრებულ-ი	verwüstet, zerstört
ფასებულ-ი	wert
დაწესებულ-ი	festgelegt, angeordnet, ernannt
კეთილწესებულ-ი	geordnet, ordentlich
განწესებულ-ი	angeordnet, festgelegt, Ordnung, Anordnung
ერადგანწესებულ-ი	Soldat
მსგავსებულ-ი	ähnlich
შემსგავსებულ-ი	ähnlich
მიმსგავსებულ-ი	ähnlich, entsprechend
აღმოვსებულ-ი	voll, gefüllt
აღვსებულ-ი	gefüllt, erfüllt, vollendet, vollbracht
აღმქისებულ-ი	schwielig, rauh
გამოტორანტოსებულ-ი	herausgeschnitzt, herausgemeißelt
გამოტორონტოსებულ-ი	herausgeschnitzt, herausgemeißelt; herausgeschnitzt, herausgemeißelt
ახუსებულ-ი	gefüllt, erfüllt, vollendet, vollbracht
განთჳსებულ-ი	getrennt, eigen
დამწჳსებულ-ი	gealtert, greis
განმწჳსებულ-ი	erwachsen
გარდამატებულ-ი	übertroffen, zu viel, zu sehr
წამატებულ-ი	erfolgreich; erfolgreich
შემატებულ-ი	hinzugefügt, vermehrt
გამომატებულ-ი	weggenommen, abgezogen
წარმატებულ-ი	erfolgreich
აღმატებულ-ი	größer
დამეტებულ-ი	überzählig, übermäßig
მომეტებულ-ი	überzählig, Rest
განჭეშმარიტებულ-ი	wahrhaftig, wahr gemacht
ოტებულ-ი	vertrieben, verjagt
განოტებულ-ი	verjagt, entfernt, vertrieben
შებოროტებულ-ი	gequält, gepeinigt
განბოროტებულ-ი	belästigt
განმარტებულ-ი	erklärt, kommentiert, gelöst; entfaltet, ausgebreitet; richtig
დანეშტებულ-ი	übriggeblieben
დაყრუებულ-ი	taub geworden
განცრუებულ-ი	betrogen
აღბოლქუებულ-ი	brennend, angezündet
აღბულქუებულ-ი	zu rauchen begonnen, mit aufsteigendem Rauch
აღბორქუებულ-ი	brennend, angezündet
შეტყუებულ-ი	bemerkt, entsprechend, angepaßt
თანაშეტყუებულ-ი	angepaßt
განმტყუებულ-ი	falsch
შუებულ-ი	fröhlich, ausgelassen, schwelgend
მიშუებულ-ი	hingelassen
შეპიშუებულ-ი	angeschwollen
სულშუებულ-ი	fröhlich, ausgeruht
მოშუებულ-ი	herangekommen, erlaubt
დაბუშუებულ-ი	geprellt, verletzt, erschlafft
შებორცუებულ-ი	angesammelt, angehäuft
შეეჭუებულ-ი	mißtrauisch, argwöhnisch
მოფოლხუებულ-ი	erschlafft
გამარჯუებულ-ი	tüchtig, geschickt
განმარჯუებულ-ი	geeignet, recht, erfolgreich, günstig
ჴუებულ-ი	fehlend, vermindert
დამჴუებულ-ი	gestürzt, unterworfen, zerstört
განჴუებულ-ი	entfernt, vermindert
განკაფებულ-ი	abgenutzt, verschlissen
დამოწაფებულ-ი	Schüler
დამწიფებულ-ი	gereift
მოწიფებულ-ი	erlangt, erreicht, gekommen, eingeholt, gereift
ვერმოწიფებულ-ი	nicht erreicht
განცოფებულ-ი	verrückt, dumm, tobend, rasend
ქებულ-ი	gelobt, gepriesen
განქიქებულ-ი	getadelt, aufgedeckt
აღსუბუქებულ-ი	erleichtert
სუქებულ-ი	fett
განსუქებულ-ი	dick
ღებულ-ი	geöffnet, offen; gefärbt
აღებულ-ი	genommen, geöffnet (Mund); genommen, geöffnet (Mund)
დაღებულ-ი	gefärbt; niedergestürzt, hinabgeschafft
სულდაღებულ-ი	beruhigt, besänftigt
ზეაღებულ-ი	geöffnet
თავაღებულ-ი	mit erhobenem Kopf
განლაღებულ-ი	frech / dreist geworden
პირაღებულ-ი	mit offenem Mund
მუცლადღებულ-ი	geschwängert, schwanger, trächtig
ზეღებულ-ი	unbedeckt, nicht zugedeckt
შეღებულ-ი	gefärbt; hineingebracht
მიღებულ-ი	weggenommen, angenommen
გონებამიღებულ-ი	geistlos, dumm
ცნობამიღებულ-ი	verrückt
ნახევარმიღებულ-ი	halbtot
ნათელღებულ-ი	getauft
ახალნათელღებულ-ი	frisch getauft
განღებულ-ი	hinausgetragen; geöffnet
მოღებულ-ი	hergebracht, emporgehoben, weggenommen
გამოღებულ-ი	herausgenommen, weggenommen
