			აბულაძე
თხიერნი	NOUN	თხიერ-	
წარწყმდენ,	VERB	წყმედ	წარწყმედა
Lk.5-38		Lk.5-38	
არამედ	CONJ	არამედ	
ღჳნოჲ	NOUN	ღჳნო	
ახალი	ADJ	ახალ-	
თხიერთა	NOUN	თხიერ-	
ახალთა	ADJ	ახალ-	
ჯერ-არს	VERB	ჯერ-არ-ს	ჯერ-ყოფა
შთასხმად,	NOUN	შთასხმა	
და	CONJ	და	
ორნივე	NOUN	ორ-	
დაიმარხნენ.	VERB	მარხ	დამარხვა
Lk.5-39		Lk.5-39	
და	CONJ	და	
არავინ	PRON	არავინ	
სუამნ	VERB	სუ	სუმა
ღჳნოსა	NOUN	ღჳნო	
ძუელსა	ADJ	ძუელ-	
და	CONJ	და	
მეყსეულად	ADV	მეყსეულად	
ჰნებავნ	VERB	ნებ	ნებება
ახალი,	ADJ	ახალ-	
რამეთუ	CONJ	რამეთუ	
თქჳს:	VERB	თქუ	თქუმა
ძუელი	ADJ	ძუელ-	
უმჯობეს	ADJ	უმჯობეს-	
არს,	VERB	არ-ს	ყოფა
Lk.6-1		Lk.6-1	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
შაბათსა	NOUN	შაბათ-	
მეორესა	NOUN	მეორე	
და	CONJ	და	
განვიდოდა	VERB	ვიდ	განსლვა
თავადი	PRON	თავად-	
თესულისაგან	NOUN	თესულ-	
ყანისა.	NOUN	ყანა	
ხოლო	CONJ	ხოლო	
მოწაფენი	NOUN	მოწაფე	
მისნი	PRON	მის-	
მოშჭრიდეს	VERB	ჭრ	მოჭრა
თავსა	NOUN	თავ-	
ჴუვილისასა,	NOUN	ჴუვილ-	
მუსრვიდეს	VERB	მუსრ	მუსრვა
ჴელითა	NOUN	ჴელ-	
და	CONJ	და	
ჭამდეს.	VERB	ჭამ	ჭამა
Lk.6-2		Lk.6-2	
ხოლო	CONJ	ხოლო	
რომელთამე	PRON	რომელიმე	
ფარისეველთა	NOUN	ფარისეველ-	
ჰრქუეს	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
რაჲსა	PRON	რა	
ჰზამთ	VERB	ზამ	ზმა
შაბათსა	NOUN	შაბათ-	
შინა,	PRT	შინა,	
რომელი	PRON	რომელ-	
არა	PRT	არა	
ჯერ-არს?	VERB	ჯერ-არ-ს	ჯერ-ყოფა
Lk.6-3		Lk.6-3	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
არცაღა	PRT	არცაღა	
ესე	PRON	ესე	
აღმოგიკითხავსა,	VERB	კითხ	აღმოკითხვა
რომელ-იგი	PRON	რომელ-იგი	
ყო	VERB	ყოფა	ყოფა
დავით,	NOUN	დავით-	
ოდეს-იგი	ADV	ოდეს-იგი	
შეემშია	VERB	მშ	შემშიება
მას	PRON	იგი	
და	CONJ	და	
მისთანათა,	PRON	მის-	
Lk.6-4		Lk.6-4	
ვითარ-იგი	ADV	ვითარ-იგი	
შევიდა	VERB	ვიდ	შესლვა
ტაძარსა	NOUN	ტაძარ-	
ღმრთისასა	NOUN	ღმერთ-	
და	CONJ	და	
პურნი	NOUN	პურ-	
იგი	PRON	იგი	
შესაწირავისანი	NOUN	შესაწირავ-	
შეჭამნა	VERB	ჭამ	შეჭამა
და	CONJ	და	
სცა	VERB	ც	ცემა
მისთანათაცა,	PRON	მის-	
რომელთაჲ	PRON	რომელ-	
არა	PRT	არა	
ჯერ-არს	VERB	ჯერ-არ-ს	ჯერ-ყოფა
ჭამაჲ,	NOUN	ჭამა	
გარნა	PRT	გარნა	
მღდელთაჲ	NOUN	მღდელ-	
ხოლო?	PRT	ხოლო?	
Lk.6-5		Lk.6-5	
და	CONJ	და	
ეტყოდა	VERB	ტყუ	სიტყუა
მათ:	PRON	მათ:	
უფალ	NOUN	უფალ-	
არს	VERB	არ-ს	ყოფა
ძჱ	NOUN	ძე	
კაცისაჲ	NOUN	კაც-	
შაბათისაცა.	NOUN	შაბათ-	
Lk.6-6		Lk.6-6	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
სხუასაცა	PRON	სხუა	
შაბათსა,	NOUN	შაბათ-	
და	CONJ	და	
შთავიდა	VERB	ვიდ	შთასლვა
თავადი	PRON	თავად-	
შესაკრებელსა	NOUN	შესაკრებელ-	
მათსა	PRON	მათ-	
და	CONJ	და	
ასწავებდა	VERB	სწავ	სწავება
მათ.	PRON	მათ.	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
მუნ	ADV	მუნ	
კაცი,	NOUN	კაც-	
რომელსა	PRON	რომელ-	
ჴელი	NOUN	ჴელ-	
მისი	PRON	მის-	
მარჯუენე	ADJ	მარჯუენე	
განჴმელ	ADJ	განჴმელ	
ედგა.	VERB	დეგ	დგმა
Lk.6-7		Lk.6-7	
უმზირდეს	VERB	მზირ	მზირება
მას	PRON	იგი	
მწიგნობარნი	NOUN	მწიგნობარ-	
და	CONJ	და	
ფარისეველნი,	NOUN	ფარისეველ-	
უკუეთუმცა	ADV	უკუეთუმცა	
შაბათსა	NOUN	შაბათ-	
განკურნა,	VERB	კურნ	განკურნება
რაჲთა	CONJ	რაჲთა	
პოვონ,	VERB	პოვ	პოვნა
ვითარმცა	CONJ	ვითარმცა	
შეასმინეს	VERB	სმინ	შესმინება
იგი.	PRON	იგი.	
Lk.6-8		Lk.6-8	
ხოლო	CONJ	ხოლო	
თავადმან	PRON	თავად-	
იცნოდა	VERB	ც	ცოდნა
ზრახვანი	NOUN	ზრახვა	
მათნი	PRON	მათ-	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
კაცსა	NOUN	კაც-	
მას,	PRON	იგი	
რომელსა	PRON	რომელ-	
ჴელი	NOUN	ჴელ-	
განჴმელ	ADJ	განჴმელ-	
ედგა:	VERB	დეგ	დგმა
აღდეგ	VERB	დეგ	აღდგომა
და	CONJ	და	
წარმოდეგ	VERB	დეგ	წარმოდგომა
შორის!	ADV	შორის!	
--		--	
ხოლო	CONJ	ხოლო	
იგი	PRON	იგი	
აღდგა	VERB	დეგ	აღდგომა
და	CONJ	და	
დადგა	VERB	დეგ	დადგომა
შორის.	ADV	შორის.	
Lk.6-9		Lk.6-9	
და	CONJ	და	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
გკითხო	VERB	კითხ	კითხვა
თქუენ	PRON	თქუენ	
სიტყუაჲ:	NOUN	სიტყუა	
რაჲ	RO	რაჲ	
ჯერ-არს	VERB	ჯერ-არ-ს	ჯერ-ყოფა
შაბათსა:	NOUN	შაბათ-	
კეთილისა	ADJ	კეთილ-	
საქმჱ,	NOUN	საქმე	
ანუ	CONJ	ანუ	
ბოროტისა	ADJ	ბოროტ-	
ყოფაჲ?	NOUN	ყოფა	
სულისა	NOUN	სულ-	
ცხორებაჲ,	NOUN	ცხორება	
ანუ	CONJ	ანუ	
მოკლვაჲ?	NOUN	მოკლვა	
Lk.6-10		Lk.6-10	
და	CONJ	და	
მიჰხედა	VERB	ხედ	მიხედვა
მათ	PRON	მათ	
ყოველთა	PRON	ყოველ-	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
კაცსა	NOUN	კაც-	
მას:	PRON	იგი	
განირთხ	VERB	რთხ	განრთხმა
ჴელი	NOUN	ჴელ-	
შენი!	PRON	შენ-	
ხოლო	CONJ	ხოლო	
მან	PRON	იგი	
განირთხა,	VERB	რთხ	განრთხმა
და	CONJ	და	
მოეგო	VERB	გ	მოგება
ჴელი	NOUN	ჴელ-	
მისი,	PRON	მის-	
ვითარცა	CONJ	ვითარცა	
სხუაჲ	PRON	სხუა	
იგი.	PRON	იგი.	
Lk.6-11		Lk.6-11	
ხოლო	CONJ	ხოლო	
იგინი	PRON	იგი	
აღივსნეს	VERB	ვს	აღვსება
მანკიერებითა	NOUN	მანკიერება	
და	CONJ	და	
განიზრახვიდეს	VERB	ზრახ	განზრახვა
ურთიერთას,	PRON	ურთიერთ-	
უკუეთუმცა	CONJ	უკუეთუმცა	
უყვეს	VERB	ყოფა	ყოფა
რაჲ	PRON	რაჲ	
იესუს.	NOUN	იესუ	
Lk.6-12		Lk.6-12	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
მათ	PRON	მათ	
დღეთა	NOUN	დღე	
შინა	PRT	შინა	
და	CONJ	და	
განვიდა	VERB	ვიდ	განსლვა
თავადი	PRON	თავად-	
მთად	NOUN	მთა	
კერძო	ADV	კერძო	
ლოცვად	NOUN	ლოცვა	
და	CONJ	და	
ღამესა	NOUN	ღამე	
ათევდა	VERB	თევ	თევა
ლოცვითა	NOUN	ლოცვა	
ღმრთისა	NOUN	ღმერთ-	
მიმართ.	PRT	მიმართ.	
Lk.6-13		Lk.6-13	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
განთენა	VERB	თენ	განთენება
დღჱ,	NOUN	დღე	
მოუწოდა	VERB	წოდ	მოწოდება
მოწაფეთა	NOUN	მოწაფე	
თჳსთა	PRON	თჳს-	
და	CONJ	და	
გამოირჩინა	VERB	რჩ	გამორჩევა
ათორმეტნი	NUM	ათორმეტ-	
მათგანნი,	PRON	მათ-	
რომელთაცა	PRON	რომელ-	
მოციქულად	NOUN	მოციქულ-	
უწოდა.	VERB	წოდ	წოდება
Lk.6-14		Lk.6-14	
სიმონ,	NOUN	სიმონ-	
რომელსა	PRON	რომელ-	
უწოდა	VERB	წოდ	წოდება
პეტრე,	NOUN	პეტრე	
და	CONJ	და	
ანდრეა,	NOUN	ანდრეა	
ძმაჲ	NOUN	ძმა	
მისი,	PRON	მის-	
იაკობ	NOUN	იაკობ-	
და	CONJ	და	
იოვანე,	NOUN	იოვანე	
ფილიპე	NOUN	ფილიპე	
და	CONJ	და	
ბართლომე,	NOUN	ბართლომე	
Lk.6-15		Lk.6-15	
მატთეოს	NOUN	მატთეოს-	
და	CONJ	და	
თომა	NOUN	თომა	
და	CONJ	და	
იაკობ	NOUN	იაკობ-	
ალფესი	NOUN	ალფე	
და	CONJ	და	
სიმონ,	NOUN	სიმონ-	
რომელსა	PRON	რომელ-	
ერქუა	VERB	რქუ	რქუმა
მოშურნე,	NOUN	მოშურნე,	
Lk.6-16		Lk.6-16	
და	CONJ	და	
იუდა	NOUN	იუდა	
იაკობისი	NOUN	იაკობ-	
და	CONJ	და	
იუდა	NOUN	იუდა	
ისკარიოტელი,	NOUN	ისკარიოტელ-	
რომელი-იგი	PRON	რომელ-იგი	
იქმნა	VERB	ქმენ	ქმნა
განმცემელ.	NOUN	განმცემელ-	
Lk.6-17		Lk.6-17	
და	CONJ	და	
გარდამოვიდა	VERB	ვიდ	გარდამოსლვა
მათ	PRON	მათ	
თანა	PRT	თანა	
და	CONJ	და	
დადგა	VERB	დეგ	დადგომა
ადგილდა	NOUN	ადგილ-	
ველსა,	NOUN	ველ-	
და	CONJ	და	
ერი	NOUN	ერ-	
იგი	PRON	იგი	
მოწაფეთა	NOUN	მოწაფე	
მისთაჲ,	PRON	მის-	
და	CONJ	და	
სხჳსა	PRON	სხუა	
ერისა	NOUN	ერ-	
სიმრავლე	NOUN	სიმრავლე	
ფრიადი	ADJ	ფრიად-	
ჰურიასტანით	NOUN	ჰურიასტან-	
და	CONJ	და	
იერუსალჱმით	NOUN	იერუსალჱმ-	
და	CONJ	და	
ზღჳსკიდისაჲ,	NOUN	ზღჳსკიდე	
ტჳროსით	NOUN	ტჳროს-	
და	CONJ	და	
სიდონით,	NOUN	სიდონ-	
Lk.6-18		Lk.6-18	
რომელნი	PRON	რომელ-	
მოსრულ	NOUN	მოსრულ	
იყვნეს	VERB	ყოფნა	ყოფა
სმენად	NOUN	სმენა	
მისგან	PRON	იგი	
და	CONJ	და	
განკურნებად	NOUN	განკურნება	
სნეულებათაგან	NOUN	სნეულება	
მათთა;	PRON	მათ-	
და	CONJ	და	
ურვილნი	NOUN	ურვილ-	
იგი	PRON	იგი	
სულთაგან	NOUN	სულ-	
არაწმიდათა	ADJ	არაწმიდა	
განიკურნებოდეს.	VERB	კურნ	განკურნება
Lk.6-19		Lk.6-19	
და	CONJ	და	
ყოველი	PRON	ყოველ-	
იგი	PRON	იგი	
ერი	NOUN	ერ-	
ეძიებდა	VERB	ძი	ძიება
შეახლებად	NOUN	შეახლება	
მისა,	PRON	იგი	
რამეთუ	CONJ	რამეთუ	
ძალნი	NOUN	ძალ-	
გამოვიდოდეს	VERB	ვიდ	გამოსლვა
მისგან	PRON	იგი	
და	CONJ	და	
განჰკურნებდეს	VERB	კურნ	განკურნება
ყოველთა.	PRON	ყოველ-	
Lk.6-20		Lk.6-20	
და	CONJ	და	
თავადმან	PRON	თავად-	
აღიხილნა	VERB	ხილ	აღხილვა
თუალნი	NOUN	თუალ-	
მისნი	PRON	მის-	
მოწაფეთა	NOUN	მოწაფე	
მიმართ	PRT	მიმართ	
და	CONJ	და	
ეტყოდა:	VERB	ტყუ	სიტყუა
ნეტარ	ADJ	ნეტარ	
ხართ	VERB	ყოფნა	ყოფა
გლახაკნი	NOUN	გლახაკ-	
სულითა,	NOUN	სულ-	
რამეთუ	CONJ	რამეთუ	
თქუენი	PRON	თქუენ-	
არს	VERB	არ-ს	ყოფა
სასუფეველი	NOUN	სასუფეველ-	
ღმრთისაჲ;	NOUN	ღმერთ-	
Lk.6-21		Lk.6-21	
ნეტარ	ADJ	ნეტარ	
ხართ	VERB	ყოფნა	ყოფა
თქუენ,	PRON	თქუენ,	
რომელთა	PRON	რომელ-	
გშიის	VERB	ში	შიმშილი
აწ,	ADV	აწ,	
რამეთუ	CONJ	რამეთუ	
განსძღეთ;	VERB	ძეღ	განძღომა
ნეტარ	ADJ	ნეტარ	
ხართ,	VERB	ყოფნა	ყოფა
რომელნი	PRON	რომელ-	
სტირთ	VERB	ტირ	ტირილი
აწ,	ADV	აწ,	
რამეთუ	CONJ	რამეთუ	
იცინოდით;	VERB	ცინ	სიცილი
Lk.6-22		Lk.6-22	
ნეტარ	ADJ	ნეტარ	
იყვნეთ,	VERB	ყოფნა	ყოფა
რაჟამს	ADV	რაჟამს	
მოგიძულნენ	VERB	ძულ	მოძულება
თქუენ	PRON	თქუენ	
კაცთა	NOUN	კაც-	
და	CONJ	და	
ოდეს	ADV	ოდეს	
გამოგასხნენ	VERB	სხ	გამოსხმა
თქუენ	PRON	თქუენ	
და	CONJ	და	
გაყუედრებდენ	VERB	ყუედრ	ყუედრება
და	CONJ	და	
განჴადონ	VERB	ჴად	განჴდომა
სახელი	NOUN	სახელ-	
თქუენი,	PRON	თქუენ-	
ვითარცა	CONJ	ვითარცა	
ბოროტთაჲ,	NOUN	ბოროტ-	
ძისათჳს	NOUN	ძე	
კაცისა.	NOUN	კაც-	
Lk.6-23		Lk.6-23	
გიხაროდენ	VERB	ხარ	ხარება
მას	PRON	იგი	
დღესა	NOUN	დღე	
შინა	PRT	შინა	
და	CONJ	და	
მხიარულ	NOUN	მხიარულ	
იყვენით,	VERB	ყოფნა	ყოფა
რამეთუ,	CONJ	რამეთუ,	
აჰა,	PRT	აჰა,	
ესერა,	PRON	ესერა,	
სასყიდელი	NOUN	სასყიდელ-	
თქუენი	PRON	თქუენ-	
მრავალ	ADJ	მრავალ	
არს	VERB	არ-ს	ყოფა
ცათა	NOUN	ცა	
შინა,	PRT	შინა,	
რამეთუ	CONJ	რამეთუ	
ესრეთვე	ADV	ესრეთვე	
უყოფდეს	VERB	ყოფა	ყოფა
წინაწარმეტყუელთა	NOUN	წინაწარმეტყუელ-	
მამანი	NOUN	მამა	
მათნი.	PRON	მათ-	
Lk.6-24		Lk.6-24	
ხოლო	CONJ	ხოლო	
ვაჲ	PRT	ვაჲ	
თქუენდა,	PRON	თქუენდა,	
მდიდარნო,	NOUN	მდიდარ-	
რამეთუ	CONJ	რამეთუ	
მიგიღებიეს	VERB	ღებ	მიღება
ნუგეშინის-ცემაჲ	NOUN	ნუგეშინის-ცემა	
თქუენი.	PRON	თქუენ-	
Lk.6-25		Lk.6-25	
ვაჲ	PRT	ვაჲ	
თქუენდა,	PRON	თქუენდა,	
განმაძღარნო	NOUN	განმაძღარ-	
აწ,	ADV	აწ,	
რამეთუ	CONJ	რამეთუ	
გშიოდის;	VERB	ში	შიმშილი
ვაჲ	PRT	ვაჲ	
თქუენდა,	PRON	თქუენდა,	
რომელნი	PRON	რომელ-	
იცინით	VERB	ცინ	სიცილი
აწ,	ADV	აწ,	
რამეთუ	CONJ	რამეთუ	
იგლოვდეთ	VERB	გლოვ	გლოვა
და	CONJ	და	
სტიროდით.	VERB	ტირ	ტირილი
Lk.6-26		Lk.6-26	
ვაჲ	PRT	ვაჲ	
თქუენდა,	PRON	თქუენდა,	
რაჟამს	ADV	რაჟამს	
კეთილსა	NOUN	კეთილ-	
გეტყოდიან	VERB	ტყუ	სიტყუა
თქუენ	PRON	თქუენ	
კაცნი,	NOUN	კაც-	
რამეთუ	CONJ	რამეთუ	
ეგრეთვე	ADV	ეგრეთვე	
უყოფდეს	VERB	ყოფა	ყოფა
ცრუწინაწარმეტყუელთა	NOUN	ცრუწინაწარმეტყუელ-	
მამანი	NOUN	მამა	
მათნი.	PRON	მათ-	
Lk.6-27		Lk.6-27	
არამედ	CONJ	არამედ	
თქუენ	PRON	თქუენ	
გეტყჳ,	VERB	ტყუ	სიტყუა
რომელთა-ეგე	PRON	რომელ-ეგე	
გესმის:	VERB	სმ	სმენა
გიყუარდედ	VERB	ყუარ	ყუარება
მტერნი	NOUN	მტერ-	
თქუენნი	PRON	თქუენ-	
და	CONJ	და	
კეთილსა	NOUN	კეთილ-	
უყოფდით	VERB	ყოფა	ყოფა
მოძულეთა	NOUN	მოძულე	
თქუენთა.	PRON	თქუენ-	
Lk.6-28		Lk.6-28	
და	CONJ	და	
აკურთხევდით	VERB	კურთხ	კურთხევა
მწყევართა	NOUN	მწყევარ-	
თქუენთა	PRON	თქუენ-	
და	CONJ	და	
ილოცევდით	VERB	ლოც	ლოცვა
მათთჳს,	PRON	მათ	
რომელნი	PRON	რომელ-	
გმძლავრობდენ	VERB	მძლავრ	მძლავრება
თქუენ.	PRON	თქუენ.	
Lk.6-29		Lk.6-29	
რომელმან	PRON	რომელ-	
გცეს	VERB	ც	ცემა
ყურიმალსა	NOUN	ყურიმალ-	
შენსა,	PRON	შენ-	
მიუპყარ	VERB	პყარ	პყრობა
ერთკერძოჲცა;	NOUN	ერთკერძო	
და	CONJ	და	
რომელი	PRON	რომელ-	
მიგიღებდეს	VERB	ღ	მიღება
შენ	PRON	შენ	
სამოსელსა	NOUN	სამოსელ-	
შენსა,	PRON	შენ-	
კუართსაცა	NOUN	კუართ-	
შენსა	PRON	შენ-	
ნუ	PRT	ნუ	
აყენებ.	VERB	ყენ	ყენება
Lk.6-30		Lk.6-30	
ყოველი	PRON	ყოველ-	
რომელი	PRON	რომელ-	
გთხოვდეს,	VERB	თხოვ	თხოვნა
მიეც;	VERB	ც	მიცემა
და	CONJ	და	
რომელი	PRON	რომელ-	
მიგიღებდეს	VERB	ღ	მიღება
შენ,	PRON	შენ,	
ნუ	PRT	ნუ	
მოჰჴდი.	VERB	ჴდ	მოჴდა
Lk.6-31		Lk.6-31	
და	CONJ	და	
ვითარცა-იგი	CONJ	ვითარცა-იგი	
თქუენ	PRON	თქუენ	
გნებავს,	VERB	ნებ	ნებება
რაჲთა	CONJ	რაჲთა	
გიყონ	VERB	ყოფა	ყოფა
კაცთა,	NOUN	კაც-	
და	CONJ	და	
თქუენცა	PRON	თქუენ	
ეგრეთვე	ADV	ეგრეთვე	
მსგავსად	ADJ	მსგავს-	
უყოფდით	VERB	ყოფა	ყოფა
მათ.	PRON	მათ.	
Lk.6-32		Lk.6-32	
და	CONJ	და	
უკუეთუ	CONJ	უკუეთუ	
გიყუარდენ	VERB	ყუარ	ყუარება
თქუენ	PRON	თქუენ	
მოყუარენი	NOUN	მოყუარე	
თქუენნი,	PRON	თქუენ-	
რაჲ	PRT	რაჲ	
არს	VERB	არ-ს	ყოფა
მადლი	NOUN	მადლ-	
თქუენდა?	PRON	თქუენდა?	
რამეთუ	CONJ	რამეთუ	
ცოდვილნიცა	NOUN	ცოდვილ-	
მოყუარეთა	NOUN	მოყუარე	
მათთა	PRON	მათ-	
ჰყუარობენ.	VERB	ყუარ	ყუარება
Lk.6-33		Lk.6-33	
და	CONJ	და	
უკუეთუ	CONJ	უკუეთუ	
კეთილისმყოფელთა	NOUN	კეთილისმყოფელ-	
თქუენთა	PRON	თქუენ-	
კეთილსა	NOUN	კეთილ-	
უყოფდეთ,	VERB	ყოფა	ყოფა
რომელი	PRON	რომელ-	
მადლი	NOUN	მადლ-	
არს	VERB	არ-ს	ყოფა
თქუენდა?	PRON	თქუენდა?	
რამეთუ	CONJ	რამეთუ	
ცოდვილნიცა	NOUN	ცოდვილ-	
ამას	PRON	ესე	
ჰყოფენ.	VERB	ყოფა	ყოფა
Lk.6-34		Lk.6-34	
და	CONJ	და	
უკუეთუ	CONJ	უკუეთუ	
ავასხებდეთ	VERB	სხ	სხმა
მათ,	PRON	მათ,	
რომელთაგან	PRON	რომელ-	
ესავთ	VERB	სავ	ს-ავ
კუალად	ADV	კუალად	
მოღებასა,	NOUN	მოღება	
რომელი	PRON	რომელ-	
მადლი	NOUN	მადლ-	
არს	VERB	არ-ს	ყოფა
თქუენდა?	PRON	თქუენ	
რამეთუ	CONJ	რამეთუ	
ცოდვილნიცა	NOUN	ცოდვილ-	
ცოდვილთა	NOUN	ცოდვილ-	
ავასხებენ,	VERB	სხ	სხმა
რაჲთა	CONJ	რაჲთა	
მოიღონ	VERB	ღ	მოღება
სწორი.	NOUN	სწორ-	
Lk.6-35		Lk.6-35	
ხოლო	CONJ	ხოლო	
თქუენ	PRON	თქუენ	
გიყუარდედ	VERB	ყუარ	ყუარება
მტერნი	NOUN	მტერ-	
თქუენნი	PRON	თქუენ-	
და	CONJ	და	
კეთილსა	NOUN	კეთილ-	
უყოფდით	VERB	ყოფ	ყოფა
და	CONJ	და	
ავასხებდით	VERB	სხ	სხმა
და	CONJ	და	
ნურარას	PRON	ნურარა	
უსასო	ADJ	უსასო	
ჰყოფთ,	VERB	ყოფა	ყოფა
და	CONJ	და	
იყოს	VERB	ყოფა	ყოფა
სასყიდელი	NOUN	სასყიდელ-	
თქუენი	PRON	თქუენ-	
მრავალ,	ADJ	მრავალ,	
და	CONJ	და	
იყვნეთ	VERB	ყოფნა	ყოფა
ძე	NOUN	ძე	
მაღლის,	NOUN	მაღალ-	
რამეთუ	CONJ	რამეთუ	
იგი	PRON	იგი	
თავადი	PRON	თავად-	
ტკბილ	ADJ	ტკბილ	
არს	VERB	არ-ს	ყოფა
უმადლოთათჳსცა	NOUN	უმადლო	
და	CONJ	და	
უკეთურთა.	NOUN	უკეთურ-	
Lk.6-36		Lk.6-36	
იყვენით	VERB	ყოფნა	ყოფა
თქუენ	PRON	თქუენ	
მოწყალე,	ADJ	მოწყალე,	
ვითარცა	CONJ	ვითარცა	
მამაჲ	NOUN	მამა	
თქუენი	PRON	თქუენ-	
მოწყალე	NOUN	მოწყალე	
არს.	VERB	არ-ს	ყოფა
Lk.6-37		Lk.6-37	
ნუ	PRT	ნუ	
განიკითხავთ	VERB	კითხ	განკითხვა
და	CONJ	და	
არა	PRT	არა	
განიკითხნეთ;	VERB	კითხ	განკითხვა
და	CONJ	და	
ნუ	PRT	ნუ	
დაშჯით	VERB	შჯ	დაშჯა
და	CONJ	და	
არა	PRT	არა	
დაისაჯნეთ;	VERB	საჯ	დასჯა
მიუტევეთ	VERB	ტევ	მიტევება
და	CONJ	და	
მოგეტევნენ.	VERB	ტევ	მოტევება
Lk.6-38		Lk.6-38	
მიეცით,	VERB	ც	მიცემა
და	CONJ	და	
მოგეცეს	VERB	ც	მოცემა
თქუენ.	PRON	თქუენ.	
საწყაული	NOUN	საწყაულ-	
კეთილი	ADJ	კეთილ-	
და	CONJ	და	
შეხრილი	ADJ	შეხრილ-	
და	CONJ	და	
დატენილი	ADJ	დატენილ-	
და	CONJ	და	
ზედაგარდათხეული	ADJ	ზედაგარდათხეულ-	
მოგცენ	VERB	ც	მოცემა
წიაღთა	NOUN	წიაღ-	
თქუენთა;	PRON	თქუენ-	
მითვე	PRON	იგივე	
საწყაულითა,	NOUN	საწყაულ-	
რომლითა	PRON	რომელ-	
მიუწყოთ,	VERB	წყ	მიწყვა
კუალად	ADV	კუალად	
მოგეწყოს	VERB	წყ	მოწყვა
თქუენ.	PRON	თქუენ.	
Lk.6-39		Lk.6-39	
ეტყოდა	VERB	ტყუ	სიტყუა
მათ	PRON	მათ	
იგავსაცა:	NOUN	იგავ-	
ნუ	PRT	ნუ	
ჴელ-ეწიფების	VERB	ჴელ-წიფება	ჴელ-წიფება
ბრმასა	NOUN	ბრმა	
ბრმისა	NOUN	ბრმა	
წინაძღუანვად?	NOUN	წინაძღუანვა	
არამეა	PRT	არამეა	
ორნივე	PRON	ორნივე	
ჯურღმულსა	NOUN	ჯურღმულ-	
შთაცჳვენ?	VERB	ცჳვ	შთაცჳვნება
Lk.6-40		Lk.6-40	
არა	PRT	არა	
არს	VERB	არ-ს	ყოფა
მოწაფჱ	NOUN	მოწაფე	
უფროჲს	NOUN	უფროჲს-	
მოძღუარისა	NOUN	მოძღუარ-	
თჳსისა,	PRON	თჳს-	
ხოლო	CONJ	ხოლო	
განკრძალული	NOUN	განკრძალულ-	
იგი	PRON	იგი	
ყოველი	PRON	ყოველ-	
იყავნ,	VERB	ყოფნა	ყოფა
ვითარცა	CONJ	ვითარცა	
მოძღუარი	NOUN	მოძღუარ-	
თჳსი.	PRON	თჳს-	
Lk.6-41		Lk.6-41	
რაჲსა	PRON	რაჲსა	
ჰხედავ	VERB	ხედ	ხედვა
წუელასა	NOUN	წუელ-	
თუალსა	NOUN	თუალ-	
შინა	PRT	შინა	
ძმისა	NOUN	ძმა	
შენისასა	PRON	შენ-	
და	CONJ	და	
დჳრესა	NOUN	დჳრე	
თუალსა	NOUN	თუალ-	
შინა	PRT	შინა	
თჳსსა	PRON	თჳს-	
არა	PRT	არა	
განიცდი?	VERB	ცდ	განცდა
Lk.6-42		Lk.6-42	
ანუ	PRT	ანუ	
ვითარ	CONJ	ვითარ	
ჴელ-გეწიფების	VERB	ჴელ-წიფება	ჴელ-წიფება
რქუმად	NOUN	რქუმა	
ძმასა	NOUN	ძმა	
შენსა:	PRON	შენ-	
ძმაო,	NOUN	ძმა	
მიტევე,	VERB	ტევ	მიტევება
და	CONJ	და	
აღმოგიღო	VERB	ღ	აღმოღება
წუელი	NOUN	წუელ-	
თუალისაგან	NOUN	თუალ-	
შენისა,	PRON	შენ-	
--		--	
და	CONJ	და	
შენ	PRON	შენ	
დჳრესა	NOUN	დჳრე	
თუალსა	NOUN	თუალ-	
შინა	PRT	შინა	
შენსა	PRON	შენ-	
არა	PRT	არა	
ჰხედავ?	VERB	ხედ	ხედვა
ორგულო,	NOUN	ორგულ-	
აღმოიღე	VERB	ღ	აღმოღება
პირველად	NOUN	პირველ-	
დჳრჱ	NOUN	დჳრე	
თუალისაგან	NOUN	თუალ-	
შენისა	PRON	შენ-	
და	CONJ	და	
მერმე	ADV	მერმე	
იხილო	VERB	ხილ	ხილვა
აღმოღებად	NOUN	აღმოღება	
წუელი	NOUN	წუელ-	
თუალისაგან	NOUN	თუალ-	
ძმისა	NOUN	ძმა	
შენისა.	PRON	შენ-	
Lk.6-43		Lk.6-43	
რამეთუ	CONJ	რამეთუ	
არა	PRT	არა	
არს	VERB	არ-ს	ყოფა
ხჱ	NOUN	ხე	
კეთილი,	ADJ	კეთილ-	
რომელმან	PRON	რომელ-	
